Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-06-26,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-06-27,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-06-29,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-01,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-02,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-03,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-04,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-06,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-08,"₫1,554,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-09,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-10,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-11,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-13,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-15,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-30,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-01,"₫1,263,000"
CAH,SGN,7:10 AM,8:25 AM,Vietnam Airlines,1 hr 15 min,2024-08-02,"₫1,004,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-03,"₫1,360,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-05,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-06,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-08,"₫1,176,000"
CAH,SGN,7:10 AM,8:25 AM,Vietnam Airlines,1 hr 15 min,2024-08-09,"₫1,004,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-10,"₫1,176,000"
CAH,SGN,,,,,2024-08-10,
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-12,"₫1,176,000"
CAH,SGN,,,,,2024-08-12,
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-12,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-13,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-14,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-15,"₫1,176,000"
CAH,SGN,,,,,2024-08-15,
CAH,SGN,7:10 AM,8:25 AM,Vietnam Airlines,1 hr 15 min,2024-08-16,"₫1,004,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-08-17,"₫1,360,000"
