Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-06-27,"₫1,068,000"
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-07-02,"₫993,000"
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-07-04,"₫993,000"
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-07-09,"₫993,000"
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-07-30,"₫1,068,000"
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-08-01,"₫1,068,000"
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-08-06,"₫1,068,000"
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-08-08,"₫1,068,000"
VKG,SGN,,,,,2024-08-08,
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-08-13,"₫1,068,000"
VKG,SGN,10:10 AM,11:15 AM,Vietnam Airlines,1 hr 5 min,2024-08-15,"₫1,068,000"
