Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
DAD,VCA,12:40 PM,2:10 PM,VietJet Air,1 hr 30 min,2024-06-13,"₫1,793,000"
DAD,VCA,1:45 PM,3:15 PM,VietJet Air,1 hr 30 min,2024-06-13,"₫1,793,000"
DAD,VCA,12:40 PM,2:10 PM,VietJet Air,1 hr 30 min,2024-06-14,"₫1,793,000"
DAD,VCA,1:45 PM,3:15 PM,VietJet Air,1 hr 30 min,2024-06-14,"₫1,793,000"
DAD,VCA,1:45 PM,3:15 PM,VietJet Air,1 hr 30 min,2024-06-15,"₫1,663,400"
DAD,VCA,12:40 PM,2:10 PM,VietJet Air,1 hr 30 min,2024-06-15,"₫1,793,000"
DAD,VCA,12:40 PM,2:10 PM,VietJet Air,1 hr 30 min,2024-06-16,"₫2,084,600"
DAD,VCA,1:45 PM,3:15 PM,VietJet Air,1 hr 30 min,2024-06-16,"₫2,300,600"
DAD,VCA,12:40 PM,2:10 PM,VietJet Air,1 hr 30 min,2024-06-17,"₫1,933,400"
DAD,VCA,1:45 PM,3:15 PM,VietJet Air,1 hr 30 min,2024-06-17,"₫2,441,000"
DAD,VCA,1:45 PM,3:15 PM,VietJet Air,1 hr 30 min,2024-06-18,"₫1,793,000"
DAD,VCA,12:40 PM,2:10 PM,VietJet Air,1 hr 30 min,2024-06-18,"₫2,138,600"
DAD,VCA,12:40 PM,2:10 PM,VietJet Air,1 hr 30 min,2024-06-19,"₫1,544,600"
DAD,VCA,1:45 PM,3:15 PM,VietJet Air,1 hr 30 min,2024-06-19,"₫1,663,400"
DAD,VCA,1:45 PM,3:15 PM,VietJet Air,1 hr 30 min,2024-06-20,"₫1,663,400"
DAD,VCA,12:40 PM,2:10 PM,VietJet Air,1 hr 30 min,2024-06-20,"₫1,793,000"
DAD,DLI,3:30 PM,4:40 PM,Vietnam Airlines,1 hr 10 min,2024-06-13,"₫1,659,000"
DAD,DLI,3:30 PM,4:40 PM,Vietnam Airlines,1 hr 10 min,2024-06-15,"₫1,800,000"
DAD,DLI,3:30 PM,4:40 PM,Vietnam Airlines,1 hr 10 min,2024-06-18,"₫1,519,000"
DAD,DLI,3:30 PM,4:40 PM,Vietnam Airlines,1 hr 10 min,2024-06-20,"₫1,519,000"
DAD,HPH,8:55 AM,10:15 AM,VietJet Air,1 hr 20 min,2024-06-13,"₫2,084,600"
DAD,HPH,7:20 PM,8:40 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫2,138,600"
DAD,HPH,8:55 AM,10:15 AM,VietJet Air,1 hr 20 min,2024-06-14,"₫2,084,600"
DAD,HPH,7:20 PM,8:40 PM,VietJet Air,1 hr 20 min,2024-06-14,"₫2,138,600"
DAD,HPH,8:55 AM,10:15 AM,VietJet Air,1 hr 20 min,2024-06-15,"₫2,084,600"
DAD,HPH,7:20 PM,8:40 PM,VietJet Air,1 hr 20 min,2024-06-15,"₫2,138,600"
DAD,HPH,8:55 AM,10:15 AM,VietJet Air,1 hr 20 min,2024-06-16,"₫2,441,000"
DAD,HPH,7:20 PM,8:40 PM,VietJet Air,1 hr 20 min,2024-06-16,"₫2,441,000"
DAD,HPH,8:55 AM,10:15 AM,VietJet Air,1 hr 20 min,2024-06-17,"₫2,214,200"
DAD,HPH,4:50 PM,6:10 PM,VietJet Air,1 hr 20 min,2024-06-17,"₫2,365,400"
DAD,HPH,8:55 AM,10:15 AM,VietJet Air,1 hr 20 min,2024-06-18,"₫2,084,600"
DAD,HPH,7:20 PM,8:40 PM,VietJet Air,1 hr 20 min,2024-06-18,"₫2,138,600"
DAD,HPH,8:55 AM,10:15 AM,VietJet Air,1 hr 20 min,2024-06-19,"₫2,084,600"
DAD,HPH,7:20 PM,8:40 PM,VietJet Air,1 hr 20 min,2024-06-19,"₫2,138,600"
DAD,HPH,8:55 AM,10:15 AM,VietJet Air,1 hr 20 min,2024-06-20,"₫2,084,600"
DAD,HPH,7:20 PM,8:40 PM,VietJet Air,1 hr 20 min,2024-06-20,"₫2,138,600"
DAD,HAN,12:50 AM,2:20 AM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,216,000"
DAD,HAN,6:20 AM,7:40 AM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,242,200"
DAD,HAN,8:35 AM,9:50 AM,Vietravel Airlines,1 hr 15 min,2024-06-13,"₫1,380,440"
DAD,HAN,11:50 PM,1:25 AM+1,Vietnam Airlines,1 hr 35 min,2024-06-13,"₫1,216,000"
DAD,HAN,10:35 PM,11:55 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,242,200"
DAD,HAN,10:55 PM,12:15 AM+1,VietJet Air,1 hr 20 min,2024-06-13,"₫1,242,200"
DAD,HAN,11:55 PM,1:15 AM+1,VietJet Air,1 hr 20 min,2024-06-13,"₫1,242,200"
DAD,HAN,12:40 AM,2:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,357,000"
DAD,HAN,10:25 PM,11:55 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,357,000"
DAD,HAN,7:40 AM,9:00 AM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,382,600"
DAD,HAN,10:15 PM,11:35 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,382,600"
DAD,HAN,10:05 PM,11:35 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,508,000"
DAD,HAN,11:25 PM,12:45 AM+1,VietJet Air,1 hr 20 min,2024-06-13,"₫1,544,600"
