Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-13,"₫1,803,800"
HAN,BMV,4:15 PM,6:00 PM,VietJet Air,1 hr 45 min,2024-06-13,"₫1,976,600"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-13,"₫3,268,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-14,"₫2,138,600"
HAN,BMV,4:15 PM,6:00 PM,VietJet Air,1 hr 45 min,2024-06-14,"₫2,138,600"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-14,"₫3,268,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-15,"₫1,803,800"
HAN,BMV,4:15 PM,6:00 PM,VietJet Air,1 hr 45 min,2024-06-15,"₫1,976,600"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-15,"₫2,145,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-16,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-16,"₫1,929,000"
HAN,BMV,4:15 PM,6:00 PM,VietJet Air,1 hr 45 min,2024-06-16,"₫1,976,600"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-17,"₫1,803,800"
HAN,BMV,4:15 PM,6:00 PM,VietJet Air,1 hr 45 min,2024-06-17,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-17,"₫1,929,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-18,"₫1,803,800"
HAN,BMV,4:15 PM,6:00 PM,VietJet Air,1 hr 45 min,2024-06-18,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-18,"₫1,929,000"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-19,"₫1,713,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-19,"₫1,803,800"
HAN,BMV,4:15 PM,6:00 PM,VietJet Air,1 hr 45 min,2024-06-19,"₫1,803,800"
HAN,BMV,,,,,2024-06-19,
HAN,BMV,,,,,2024-06-19,
HAN,BMV,,,,,2024-06-19,
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-20,"₫1,803,800"
HAN,BMV,4:15 PM,6:00 PM,VietJet Air,1 hr 45 min,2024-06-20,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-20,"₫2,577,000"
HAN,VCA,9:00 AM,11:10 AM,VietJet Air,2 hr 10 min,2024-06-13,"₫2,289,800"
