Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-13,"₫1,382,600"
HUI,HAN,1:30 PM,2:45 PM,VietJet Air,1 hr 15 min,2024-06-13,"₫1,663,400"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-13,"₫1,875,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-13,"₫2,026,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-13,"₫2,318,000"
HUI,HAN,1:30 PM,2:45 PM,VietJet Air,1 hr 15 min,2024-06-14,"₫1,663,400"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-14,"₫1,663,400"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-14,"₫1,875,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-14,"₫2,178,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-14,"₫2,448,000"
HUI,HAN,1:30 PM,2:45 PM,VietJet Air,1 hr 15 min,2024-06-15,"₫1,793,000"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-15,"₫1,793,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-15,"₫2,178,000"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-15,"₫2,318,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-15,"₫2,499,000"
HUI,HAN,1:30 PM,2:45 PM,VietJet Air,1 hr 15 min,2024-06-16,"₫2,300,600"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-16,"₫2,499,000"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-16,"₫2,333,000"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-16,"₫2,499,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-16,"₫4,564,000"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-17,"₫1,663,400"
HUI,HAN,1:30 PM,2:45 PM,VietJet Air,1 hr 15 min,2024-06-17,"₫2,084,600"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-17,"₫2,178,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-17,"₫2,318,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-17,"₫2,499,000"
HUI,HAN,1:30 PM,2:45 PM,VietJet Air,1 hr 15 min,2024-06-18,"₫1,663,400"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-18,"₫1,663,400"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-18,"₫2,026,000"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-18,"₫2,026,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-18,"₫2,448,000"
HUI,HAN,,,,,2024-06-18,
HUI,HAN,,,,,2024-06-18,
HUI,HAN,,,,,2024-06-18,
HUI,HAN,,,,,2024-06-18,
HUI,HAN,,,,,2024-06-18,
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-19,"₫1,544,600"
HUI,HAN,1:30 PM,2:45 PM,VietJet Air,1 hr 15 min,2024-06-19,"₫1,663,400"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-19,"₫1,875,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-19,"₫2,026,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-19,"₫2,026,000"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-20,"₫1,382,600"
HUI,HAN,1:30 PM,2:45 PM,VietJet Air,1 hr 15 min,2024-06-20,"₫1,663,400"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-20,"₫1,875,000"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-20,"₫1,875,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-20,"₫2,318,000"
HUI,SGN,11:10 PM,12:35 AM+1,VietJet Air,1 hr 25 min,2024-06-13,"₫1,112,600"
HUI,SGN,9:25 PM,11:05 PM,Vietnam Airlines,1 hr 40 min,2024-06-13,"₫1,486,000"
HUI,SGN,10:15 PM,11:55 PM,Vietnam Airlines,1 hr 40 min,2024-06-13,"₫1,486,000"
HUI,SGN,1:10 PM,2:35 PM,VietJet Air,1 hr 25 min,2024-06-13,"₫1,544,600"
HUI,SGN,8:30 AM,9:55 AM,VietJet Air,1 hr 25 min,2024-06-13,"₫1,544,600"
HUI,SGN,9:45 AM,11:10 AM,VietJet Air,1 hr 25 min,2024-06-13,"₫1,663,400"
HUI,SGN,5:35 PM,7:00 PM,VietJet Air,1 hr 25 min,2024-06-13,"₫1,663,400"
HUI,SGN,7:45 AM,9:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,746,000"
HUI,SGN,1:40 PM,3:20 PM,Vietnam Airlines,1 hr 40 min,2024-06-13,"₫2,026,000"
HUI,SGN,5:45 PM,7:25 PM,Vietnam Airlines,1 hr 40 min,2024-06-13,"₫2,026,000"
HUI,SGN,8:40 PM,10:05 PM,VietJet Air,1 hr 25 min,2024-06-13,"₫2,441,000"
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,,,,,2024-06-13,
HUI,SGN,11:10 PM,12:35 AM+1,VietJet Air,1 hr 25 min,2024-06-14,"₫1,112,600"
HUI,SGN,10:15 PM,12:00 AM+1,Vietnam Airlines,1 hr 45 min,2024-06-14,"₫1,486,000"
HUI,SGN,5:35 PM,7:00 PM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,544,600"
HUI,SGN,8:30 AM,9:55 AM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,544,600"
HUI,SGN,9:45 AM,11:10 AM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,544,600"
HUI,SGN,8:40 PM,10:05 PM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,544,600"
HUI,SGN,9:25 PM,11:05 PM,Vietnam Airlines,1 hr 40 min,2024-06-14,"₫1,616,000"
HUI,SGN,1:10 PM,2:35 PM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,663,400"
HUI,SGN,7:45 AM,9:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-14,"₫1,875,000"
HUI,SGN,1:40 PM,3:20 PM,Vietnam Airlines,1 hr 40 min,2024-06-14,"₫1,875,000"
HUI,SGN,5:45 PM,7:25 PM,Vietnam Airlines,1 hr 40 min,2024-06-14,"₫1,875,000"
HUI,SGN,10:15 PM,12:00 AM+1,Vietnam Airlines,1 hr 45 min,2024-06-15,"₫1,616,000"
HUI,SGN,9:25 PM,11:05 PM,Vietnam Airlines,1 hr 40 min,2024-06-15,"₫1,746,000"
HUI,SGN,5:35 PM,7:00 PM,VietJet Air,1 hr 25 min,2024-06-15,"₫2,084,600"
HUI,SGN,1:40 PM,3:20 PM,Vietnam Airlines,1 hr 40 min,2024-06-15,"₫2,178,000"
HUI,SGN,7:45 AM,9:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-15,"₫1,875,000"
HUI,SGN,8:40 PM,10:05 PM,VietJet Air,1 hr 25 min,2024-06-15,"₫2,084,600"
HUI,SGN,1:10 PM,2:35 PM,VietJet Air,1 hr 25 min,2024-06-15,"₫2,138,600"
HUI,SGN,11:10 PM,12:35 AM+1,VietJet Air,1 hr 25 min,2024-06-15,"₫2,138,600"
HUI,SGN,5:45 PM,7:25 PM,Vietnam Airlines,1 hr 40 min,2024-06-15,"₫2,318,000"
HUI,SGN,9:45 AM,11:10 AM,VietJet Air,1 hr 25 min,2024-06-15,"₫2,365,400"
HUI,SGN,8:40 PM,10:05 PM,VietJet Air,1 hr 25 min,2024-06-16,"₫1,933,400"
HUI,SGN,9:25 PM,11:05 PM,Vietnam Airlines,1 hr 40 min,2024-06-16,"₫2,026,000"
HUI,SGN,5:35 PM,7:00 PM,VietJet Air,1 hr 25 min,2024-06-16,"₫2,138,600"
HUI,SGN,5:45 PM,7:25 PM,Vietnam Airlines,1 hr 40 min,2024-06-16,"₫2,448,000"
HUI,SGN,8:30 AM,9:55 AM,VietJet Air,1 hr 25 min,2024-06-16,"₫1,933,400"
HUI,SGN,10:15 PM,12:00 AM+1,Vietnam Airlines,1 hr 45 min,2024-06-16,"₫2,026,000"
HUI,SGN,9:45 AM,11:10 AM,VietJet Air,1 hr 25 min,2024-06-16,"₫2,084,600"
HUI,SGN,1:10 PM,2:35 PM,VietJet Air,1 hr 25 min,2024-06-16,"₫2,138,600"
HUI,SGN,7:45 AM,9:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-16,"₫2,178,000"
HUI,SGN,11:10 PM,12:35 AM+1,VietJet Air,1 hr 25 min,2024-06-16,"₫2,214,200"
HUI,SGN,1:40 PM,3:20 PM,Vietnam Airlines,1 hr 40 min,2024-06-16,"₫2,499,000"
HUI,SGN,11:10 PM,12:35 AM+1,VietJet Air,1 hr 25 min,2024-06-17,"₫1,382,600"
HUI,SGN,8:40 PM,10:05 PM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,544,600"
HUI,SGN,10:15 PM,11:55 PM,Vietnam Airlines,1 hr 40 min,2024-06-17,"₫1,616,000"
HUI,SGN,8:30 AM,9:55 AM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,544,600"
HUI,SGN,9:45 AM,11:10 AM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,663,400"
HUI,SGN,9:25 PM,11:05 PM,Vietnam Airlines,1 hr 40 min,2024-06-17,"₫1,746,000"
HUI,SGN,1:10 PM,2:35 PM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,793,000"
HUI,SGN,5:35 PM,7:00 PM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,793,000"
HUI,SGN,7:45 AM,9:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-17,"₫2,178,000"
HUI,SGN,1:40 PM,3:20 PM,Vietnam Airlines,1 hr 40 min,2024-06-17,"₫2,318,000"
HUI,SGN,5:45 PM,7:25 PM,Vietnam Airlines,1 hr 40 min,2024-06-17,"₫2,318,000"
HUI,SGN,11:10 PM,12:35 AM+1,VietJet Air,1 hr 25 min,2024-06-18,"₫1,112,600"
HUI,SGN,10:15 PM,11:55 PM,Vietnam Airlines,1 hr 40 min,2024-06-18,"₫1,486,000"
HUI,SGN,9:45 AM,11:10 AM,VietJet Air,1 hr 25 min,2024-06-18,"₫1,544,600"
HUI,SGN,8:40 PM,10:05 PM,VietJet Air,1 hr 25 min,2024-06-18,"₫1,544,600"
HUI,SGN,9:25 PM,11:05 PM,Vietnam Airlines,1 hr 40 min,2024-06-18,"₫1,616,000"
HUI,SGN,8:30 AM,9:55 AM,VietJet Air,1 hr 25 min,2024-06-18,"₫1,544,600"
HUI,SGN,7:45 AM,9:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-18,"₫1,616,000"
HUI,SGN,1:10 PM,2:35 PM,VietJet Air,1 hr 25 min,2024-06-18,"₫1,663,400"
HUI,SGN,5:35 PM,7:00 PM,VietJet Air,1 hr 25 min,2024-06-18,"₫1,663,400"
HUI,SGN,1:40 PM,3:20 PM,Vietnam Airlines,1 hr 40 min,2024-06-18,"₫2,026,000"
HUI,SGN,5:45 PM,7:25 PM,Vietnam Airlines,1 hr 40 min,2024-06-18,"₫2,026,000"
HUI,SGN,11:10 PM,12:35 AM+1,VietJet Air,1 hr 25 min,2024-06-19,"₫1,112,600"
HUI,SGN,9:25 PM,11:05 PM,Vietnam Airlines,1 hr 40 min,2024-06-19,"₫1,486,000"
HUI,SGN,1:10 PM,2:35 PM,VietJet Air,1 hr 25 min,2024-06-19,"₫1,544,600"
HUI,SGN,5:35 PM,7:00 PM,VietJet Air,1 hr 25 min,2024-06-19,"₫1,544,600"
HUI,SGN,10:15 PM,12:00 AM+1,Vietnam Airlines,1 hr 45 min,2024-06-19,"₫1,486,000"
HUI,SGN,8:30 AM,9:55 AM,VietJet Air,1 hr 25 min,2024-06-19,"₫1,544,600"
HUI,SGN,9:45 AM,11:10 AM,VietJet Air,1 hr 25 min,2024-06-19,"₫1,544,600"
HUI,SGN,8:40 PM,10:05 PM,VietJet Air,1 hr 25 min,2024-06-19,"₫1,544,600"
HUI,SGN,7:45 AM,9:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-19,"₫1,616,000"
HUI,SGN,1:40 PM,3:20 PM,Vietnam Airlines,1 hr 40 min,2024-06-19,"₫2,026,000"
HUI,SGN,5:45 PM,7:25 PM,Vietnam Airlines,1 hr 40 min,2024-06-19,"₫2,026,000"
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,,,,,2024-06-19,
HUI,SGN,11:10 PM,12:35 AM+1,VietJet Air,1 hr 25 min,2024-06-20,"₫1,112,600"
HUI,SGN,10:15 PM,11:55 PM,Vietnam Airlines,1 hr 40 min,2024-06-20,"₫1,486,000"
HUI,SGN,1:10 PM,2:35 PM,VietJet Air,1 hr 25 min,2024-06-20,"₫1,544,600"
HUI,SGN,9:45 AM,11:10 AM,VietJet Air,1 hr 25 min,2024-06-20,"₫1,544,600"
HUI,SGN,8:40 PM,10:05 PM,VietJet Air,1 hr 25 min,2024-06-20,"₫1,544,600"
HUI,SGN,7:45 AM,9:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-20,"₫1,616,000"
HUI,SGN,9:25 PM,11:05 PM,Vietnam Airlines,1 hr 40 min,2024-06-20,"₫1,616,000"
HUI,SGN,5:35 PM,7:00 PM,VietJet Air,1 hr 25 min,2024-06-20,"₫1,663,400"
HUI,SGN,5:45 PM,7:25 PM,Vietnam Airlines,1 hr 40 min,2024-06-20,"₫2,026,000"
HUI,SGN,1:40 PM,3:20 PM,Vietnam Airlines,1 hr 40 min,2024-06-20,"₫2,178,000"
