,Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
0,SGN,BMV,5:20 AM,6:20 AM,VietJet Air,1 hr,2024-06-13,"₫1,134,200"
1,SGN,BMV,5:20 PM,6:20 PM,VietJet Air,1 hr,2024-06-13,"₫1,134,200"
2,SGN,BMV,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-13,"₫1,227,000"
3,SGN,BMV,5:20 AM,6:20 AM,VietJet Air,1 hr,2024-06-14,"₫1,134,200"
4,SGN,BMV,5:20 PM,6:20 PM,VietJet Air,1 hr,2024-06-14,"₫1,134,200"
5,SGN,BMV,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-14,"₫1,324,000"
6,SGN,BMV,5:20 AM,6:20 AM,VietJet Air,1 hr,2024-06-15,"₫1,134,200"
7,SGN,BMV,5:20 PM,6:20 PM,VietJet Air,1 hr,2024-06-15,"₫1,134,200"
8,SGN,BMV,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-15,"₫1,227,000"
9,SGN,BMV,5:20 AM,6:20 AM,VietJet Air,1 hr,2024-06-16,"₫1,134,200"
10,SGN,BMV,5:20 PM,6:20 PM,VietJet Air,1 hr,2024-06-16,"₫1,134,200"
11,SGN,BMV,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-16,"₫1,141,000"
12,SGN,BMV,5:20 AM,6:20 AM,VietJet Air,1 hr,2024-06-17,"₫1,134,200"
13,SGN,BMV,5:20 PM,6:20 PM,VietJet Air,1 hr,2024-06-17,"₫1,134,200"
14,SGN,BMV,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-17,"₫1,141,000"
15,SGN,BMV,5:20 AM,6:20 AM,VietJet Air,1 hr,2024-06-18,"₫1,134,200"
16,SGN,BMV,5:20 PM,6:20 PM,VietJet Air,1 hr,2024-06-18,"₫1,134,200"
17,SGN,BMV,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-18,"₫1,141,000"
18,SGN,BMV,5:20 AM,6:20 AM,VietJet Air,1 hr,2024-06-19,"₫1,134,200"
19,SGN,BMV,5:20 PM,6:20 PM,VietJet Air,1 hr,2024-06-19,"₫1,134,200"
20,SGN,BMV,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-19,"₫1,141,000"
21,SGN,BMV,5:20 AM,6:20 AM,VietJet Air,1 hr,2024-06-20,"₫1,134,200"
22,SGN,BMV,5:20 PM,6:20 PM,VietJet Air,1 hr,2024-06-20,"₫1,134,200"
23,SGN,BMV,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-20,"₫1,422,000"
24,SGN,CAH,1:35 PM,2:40 PM,Vietnam Airlines,1 hr 5 min,2024-06-15,"₫1,303,000"
25,SGN,CAH,1:35 PM,2:40 PM,Vietnam Airlines,1 hr 5 min,2024-06-17,"₫1,130,000"
26,SGN,CAH,1:35 PM,2:40 PM,Vietnam Airlines,1 hr 5 min,2024-06-18,"₫1,130,000"
27,SGN,CAH,1:35 PM,2:40 PM,Vietnam Airlines,1 hr 5 min,2024-06-19,"₫1,130,000"
28,SGN,CAH,1:35 PM,2:40 PM,Vietnam Airlines,1 hr 5 min,2024-06-20,"₫1,216,000"
29,SGN,VCS,5:15 AM,6:15 AM,Vietnam Airlines,1 hr,2024-06-13,"₫1,627,000"
30,SGN,VCS,6:50 AM,7:50 AM,,1 hr,2024-06-13,"₫1,627,000"
31,SGN,VCS,11:45 AM,12:45 PM,Operated by Vietnam Air Service,1 hr,2024-06-13,"₫1,692,000"
32,SGN,VCS,12:20 PM,1:20 PM,Vietnam Airlines,1 hr,2024-06-13,"₫1,692,000"
33,SGN,VCS,5:15 AM,6:25 AM,,1 hr 10 min,2024-06-13,"₫1,627,000"
34,SGN,VCS,7:45 AM,8:45 AM,Operated by Vietnam Air Service,1 hr,2024-06-13,"₫1,692,000"
35,SGN,VCS,8:50 AM,9:50 AM,Vietnam Airlines,1 hr,2024-06-13,"₫1,692,000"
36,SGN,VCS,8:55 AM,10:05 AM,Vietnam Airlines,1 hr 10 min,2024-06-13,"₫1,692,000"
37,SGN,VCS,10:00 AM,11:00 AM,,1 hr,2024-06-13,"₫1,692,000"
38,SGN,VCS,3:10 PM,4:10 PM,Operated by Vietnam Air Service,1 hr,2024-06-13,"₫1,692,000"
39,SGN,VCS,12:05 PM,1:05 PM,Vietnam Airlines,1 hr,2024-06-13,"₫1,746,000"
40,SGN,VCS,11:15 AM,12:15 PM,Vietnam Airlines,1 hr,2024-06-13,"₫2,512,000"
41,SGN,VCS,12:05 PM,1:05 PM,Vietnam Airlines,1 hr,2024-06-14,"₫1,792,000"
42,SGN,VCS,12:20 PM,1:20 PM,Vietnam Airlines,1 hr,2024-06-14,"₫1,792,000"
43,SGN,VCS,1:30 PM,2:30 PM,,1 hr,2024-06-14,"₫1,797,000"
44,SGN,VCS,4:55 AM,6:15 AM,Operated by Vietnam Air Service,1 hr 20 min,2024-06-14,"₫1,746,000"
45,SGN,VCS,5:25 AM,6:25 AM,Vietnam Airlines,1 hr,2024-06-14,"₫1,746,000"
46,SGN,VCS,6:50 AM,7:50 AM,,1 hr,2024-06-14,"₫1,746,000"
47,SGN,VCS,7:45 AM,8:45 AM,Operated by Vietnam Air Service,1 hr,2024-06-14,"₫1,792,000"
48,SGN,VCS,8:35 AM,9:35 AM,Vietnam Airlines,1 hr,2024-06-14,"₫1,792,000"
49,SGN,VCS,2:15 PM,3:15 PM,,1 hr,2024-06-14,"₫1,792,000"
50,SGN,VCS,2:30 PM,3:30 PM,Operated by Vietnam Air Service,1 hr,2024-06-14,"₫1,792,000"
51,SGN,VCS,3:10 PM,4:10 PM,Vietnam Airlines,1 hr,2024-06-14,"₫1,792,000"
52,SGN,VCS,3:35 PM,4:35 PM,Vietnam Airlines,1 hr,2024-06-14,"₫1,792,000"
53,SGN,VCS,8:55 AM,10:05 AM,,1 hr 10 min,2024-06-14,"₫2,512,000"
54,SGN,VCS,11:15 AM,12:15 PM,Operated by Vietnam Air Service,1 hr,2024-06-14,"₫2,512,000"
55,SGN,VCS,10:00 AM,11:00 AM,Vietnam Airlines,1 hr,2024-06-14,"₫2,728,000"
56,SGN,VCS,,,Vietnam Airlines,,2024-06-14,
57,SGN,VCS,,,,,2024-06-14,
58,SGN,VCS,,,Operated by Vietnam Air Service,,2024-06-14,
59,SGN,VCS,,,Vietnam Airlines,,2024-06-14,
60,SGN,VCS,,,,,2024-06-14,
61,SGN,VCS,,,Operated by Vietnam Air Service,,2024-06-14,
62,SGN,VCS,,,Vietnam Airlines,,2024-06-14,
63,SGN,VCS,,,,,2024-06-14,
64,SGN,VCS,,,Operated by Vietnam Air Service,,2024-06-14,
65,SGN,VCS,,,Vietnam Airlines,,2024-06-14,
66,SGN,VCS,,,Vietnam Airlines,,2024-06-14,
67,SGN,VCS,,,,,2024-06-14,
68,SGN,VCS,,,Operated by Vietnam Air Service,,2024-06-14,
69,SGN,VCS,,,Vietnam Airlines,,2024-06-14,
70,SGN,VCS,,,Vietnam Airlines,,2024-06-14,
71,SGN,VCS,11:15 AM,12:15 PM,Vietnam Airlines,1 hr,2024-06-15,"₫1,792,000"
72,SGN,VCS,11:25 AM,12:20 PM,,55 min,2024-06-15,"₫1,792,000"
73,SGN,VCS,12:05 PM,1:05 PM,Operated by Vietnam Air Service,1 hr,2024-06-15,"₫1,792,000"
74,SGN,VCS,12:20 PM,1:20 PM,Vietnam Airlines,1 hr,2024-06-15,"₫1,792,000"
75,SGN,VCS,4:55 AM,6:00 AM,,1 hr 5 min,2024-06-15,"₫1,746,000"
76,SGN,VCS,4:55 AM,6:05 AM,Operated by Vietnam Air Service,1 hr 10 min,2024-06-15,"₫1,746,000"
77,SGN,VCS,5:15 AM,6:25 AM,Vietnam Airlines,1 hr 10 min,2024-06-15,"₫1,746,000"
78,SGN,VCS,3:10 PM,4:10 PM,Vietnam Airlines,1 hr,2024-06-15,"₫1,746,000"
79,SGN,VCS,3:35 PM,4:35 PM,,1 hr,2024-06-15,"₫1,746,000"
80,SGN,VCS,8:05 AM,9:05 AM,Operated by Vietnam Air Service,1 hr,2024-06-15,"₫1,792,000"
81,SGN,VCS,8:20 AM,9:20 AM,Vietnam Airlines,1 hr,2024-06-15,"₫1,792,000"
82,SGN,VCS,8:35 AM,9:35 AM,,1 hr,2024-06-15,"₫1,792,000"
83,SGN,VCS,2:30 PM,3:30 PM,Operated by Vietnam Air Service,1 hr,2024-06-15,"₫1,792,000"
84,SGN,VCS,6:50 AM,7:50 AM,Vietnam Airlines,1 hr,2024-06-15,"₫1,797,000"
85,SGN,VCS,8:55 AM,10:05 AM,,1 hr 10 min,2024-06-15,"₫1,797,000"
86,SGN,VCS,10:00 AM,11:00 AM,Operated by Vietnam Air Service,1 hr,2024-06-15,"₫1,797,000"
87,SGN,VCS,5:25 AM,6:25 AM,Vietnam Airlines,1 hr,2024-06-16,"₫1,627,000"
88,SGN,VCS,3:10 PM,4:10 PM,Vietnam Airlines,1 hr,2024-06-16,"₫1,627,000"
89,SGN,VCS,3:35 PM,4:35 PM,Vietnam Airlines,1 hr,2024-06-16,"₫1,627,000"
90,SGN,VCS,4:55 AM,6:15 AM,,1 hr 20 min,2024-06-16,"₫1,627,000"
91,SGN,VCS,6:50 AM,7:50 AM,Operated by Vietnam Air Service,1 hr,2024-06-16,"₫1,692,000"
92,SGN,VCS,7:45 AM,8:45 AM,Vietnam Airlines,1 hr,2024-06-16,"₫1,692,000"
93,SGN,VCS,8:35 AM,9:35 AM,,1 hr,2024-06-16,"₫1,692,000"
94,SGN,VCS,8:55 AM,10:05 AM,Operated by Vietnam Air Service,1 hr 10 min,2024-06-16,"₫1,692,000"
95,SGN,VCS,12:05 PM,1:05 PM,Vietnam Airlines,1 hr,2024-06-16,"₫1,692,000"
96,SGN,VCS,12:20 PM,1:20 PM,,1 hr,2024-06-16,"₫1,692,000"
97,SGN,VCS,1:30 PM,2:30 PM,Operated by Vietnam Air Service,1 hr,2024-06-16,"₫1,692,000"
98,SGN,VCS,2:15 PM,3:15 PM,Vietnam Airlines,1 hr,2024-06-16,"₫1,692,000"
99,SGN,VCS,2:30 PM,3:30 PM,Vietnam Airlines,1 hr,2024-06-16,"₫1,692,000"
100,SGN,VCS,8:25 AM,9:25 AM,,1 hr,2024-06-16,"₫1,746,000"
101,SGN,VCS,10:00 AM,11:00 AM,Operated by Vietnam Air Service,1 hr,2024-06-16,"₫1,746,000"
102,SGN,VCS,11:15 AM,12:15 PM,Vietnam Airlines,1 hr,2024-06-16,"₫1,746,000"
103,SGN,VCS,5:25 AM,6:25 AM,Vietnam Airlines,1 hr,2024-06-17,"₫1,627,000"
104,SGN,VCS,5:55 AM,6:55 AM,Vietnam Airlines,1 hr,2024-06-17,"₫1,627,000"
105,SGN,VCS,6:50 AM,7:50 AM,Vietnam Airlines,1 hr,2024-06-17,"₫1,627,000"
106,SGN,VCS,3:10 PM,4:10 PM,,1 hr,2024-06-17,"₫1,627,000"
107,SGN,VCS,3:30 PM,4:30 PM,Operated by Vietnam Air Service,1 hr,2024-06-17,"₫1,627,000"
108,SGN,VCS,7:45 AM,8:45 AM,Vietnam Airlines,1 hr,2024-06-17,"₫1,692,000"
109,SGN,VCS,8:25 AM,9:25 AM,Vietnam Airlines,1 hr,2024-06-17,"₫1,692,000"
110,SGN,VCS,8:50 AM,9:50 AM,,1 hr,2024-06-17,"₫1,692,000"
111,SGN,VCS,8:55 AM,10:05 AM,Operated by Vietnam Air Service,1 hr 10 min,2024-06-17,"₫1,692,000"
112,SGN,VCS,11:15 AM,12:15 PM,Vietnam Airlines,1 hr,2024-06-17,"₫1,692,000"
113,SGN,VCS,11:45 AM,12:45 PM,Vietnam Airlines,1 hr,2024-06-17,"₫1,692,000"
114,SGN,VCS,12:05 PM,1:05 PM,,1 hr,2024-06-17,"₫1,692,000"
115,SGN,VCS,12:20 PM,1:20 PM,Operated by Vietnam Air Service,1 hr,2024-06-17,"₫1,692,000"
116,SGN,VCS,10:00 AM,11:00 AM,Vietnam Airlines,1 hr,2024-06-17,"₫1,746,000"
117,SGN,VCS,5:15 AM,6:15 AM,Vietnam Airlines,1 hr,2024-06-18,"₫1,627,000"
118,SGN,VCS,6:50 AM,7:50 AM,,1 hr,2024-06-18,"₫1,627,000"
119,SGN,VCS,11:15 AM,12:15 PM,Operated by Vietnam Air Service,1 hr,2024-06-18,"₫1,692,000"
120,SGN,VCS,11:45 AM,12:45 PM,Vietnam Airlines,1 hr,2024-06-18,"₫1,692,000"
