Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
THD,SGN,1:35 PM,3:35 PM,VietJet Air,2 hr,2024-06-13,"₫2,118,600"
THD,SGN,9:20 AM,11:20 AM,Vietnam Airlines,2 hr,2024-06-13,"₫2,341,000"
THD,SGN,8:20 PM,10:20 PM,VietJet Air,2 hr,2024-06-13,"₫1,956,600"
THD,SGN,8:45 AM,10:45 AM,VietJet Air,2 hr,2024-06-13,"₫2,118,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-13,"₫2,118,600"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-13,"₫2,118,600"
THD,SGN,9:20 AM,11:20 AM,Vietnam Airlines,2 hr,2024-06-14,"₫2,125,000"
THD,SGN,8:20 PM,10:20 PM,VietJet Air,2 hr,2024-06-14,"₫1,956,600"
THD,SGN,8:45 AM,10:45 AM,VietJet Air,2 hr,2024-06-14,"₫2,118,600"
THD,SGN,1:35 PM,3:35 PM,VietJet Air,2 hr,2024-06-14,"₫2,118,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-14,"₫2,118,600"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-14,"₫2,118,600"
THD,SGN,2:45 PM,4:50 PM,Vietnam Airlines,2 hr 5 min,2024-06-14,"₫2,341,000"
THD,SGN,8:45 AM,10:45 AM,VietJet Air,2 hr,2024-06-15,"₫2,118,600"
THD,SGN,9:20 AM,11:20 AM,Vietnam Airlines,2 hr,2024-06-15,"₫2,341,000"
THD,SGN,2:45 PM,4:50 PM,Vietnam Airlines,2 hr 5 min,2024-06-15,"₫2,341,000"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-15,"₫2,118,600"
THD,SGN,8:20 PM,10:20 PM,VietJet Air,2 hr,2024-06-15,"₫2,118,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-15,"₫2,302,200"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-16,"₫2,118,600"
THD,SGN,9:20 AM,11:20 AM,Vietnam Airlines,2 hr,2024-06-16,"₫2,557,000"
THD,SGN,8:20 PM,10:20 PM,VietJet Air,2 hr,2024-06-16,"₫2,118,600"
THD,SGN,8:45 AM,10:45 AM,VietJet Air,2 hr,2024-06-16,"₫2,302,200"
THD,SGN,1:35 PM,3:35 PM,VietJet Air,2 hr,2024-06-16,"₫2,302,200"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-16,"₫2,302,200"
THD,SGN,1:35 PM,3:35 PM,VietJet Air,2 hr,2024-06-17,"₫2,118,600"
THD,SGN,2:45 PM,4:50 PM,Vietnam Airlines,2 hr 5 min,2024-06-17,"₫2,341,000"
THD,SGN,8:45 AM,10:45 AM,VietJet Air,2 hr,2024-06-17,"₫2,118,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-17,"₫2,118,600"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-17,"₫2,118,600"
THD,SGN,8:20 PM,10:20 PM,VietJet Air,2 hr,2024-06-17,"₫2,118,600"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-18,"₫1,654,200"
THD,SGN,8:20 PM,10:20 PM,VietJet Air,2 hr,2024-06-18,"₫1,654,200"
THD,SGN,8:45 AM,10:45 AM,VietJet Air,2 hr,2024-06-18,"₫1,783,800"
THD,SGN,1:35 PM,3:35 PM,VietJet Air,2 hr,2024-06-18,"₫1,783,800"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-18,"₫1,783,800"
THD,SGN,2:45 PM,4:50 PM,Vietnam Airlines,2 hr 5 min,2024-06-18,"₫2,125,000"
THD,SGN,1:35 PM,3:35 PM,VietJet Air,2 hr,2024-06-19,"₫2,118,600"
THD,SGN,2:45 PM,4:50 PM,Vietnam Airlines,2 hr 5 min,2024-06-19,"₫2,341,000"
THD,SGN,8:20 PM,10:20 PM,VietJet Air,2 hr,2024-06-19,"₫1,956,600"
THD,SGN,8:45 AM,10:45 AM,VietJet Air,2 hr,2024-06-19,"₫2,118,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-19,"₫2,118,600"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-19,"₫2,118,600"
THD,SGN,8:20 PM,10:20 PM,VietJet Air,2 hr,2024-06-20,"₫1,654,200"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-20,"₫1,956,600"
THD,SGN,8:45 AM,10:45 AM,VietJet Air,2 hr,2024-06-20,"₫2,118,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-20,"₫2,302,200"
THD,SGN,2:45 PM,4:50 PM,Vietnam Airlines,2 hr 5 min,2024-06-20,"₫2,341,000"
