Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
UIH,HAN,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-06-13,"₫1,740,600"
UIH,HAN,4:25 PM,6:05 PM,VietJet Air,1 hr 40 min,2024-06-13,"₫1,891,800"
UIH,HAN,4:35 PM,6:15 PM,Bamboo Airways,1 hr 40 min,2024-06-13,"₫2,270,000"
UIH,HAN,6:10 PM,7:50 PM,VietJet Air,1 hr 40 min,2024-06-13,"₫2,064,600"
UIH,HAN,12:00 PM,1:35 PM,VietJet Air,1 hr 35 min,2024-06-13,"₫2,269,800"
UIH,HAN,1:15 PM,2:50 PM,Vietnam Airlines,1 hr 35 min,2024-06-13,"₫2,730,000"
UIH,HAN,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-06-14,"₫1,740,600"
UIH,HAN,4:25 PM,6:05 PM,VietJet Air,1 hr 40 min,2024-06-14,"₫2,064,600"
UIH,HAN,10:20 AM,12:00 PM,VietJet Air,1 hr 40 min,2024-06-14,"₫2,269,800"
UIH,HAN,6:10 PM,7:50 PM,VietJet Air,1 hr 40 min,2024-06-14,"₫2,853,000"
UIH,HAN,1:15 PM,2:50 PM,Vietnam Airlines,1 hr 35 min,2024-06-14,"₫5,192,000"
UIH,HAN,4:25 PM,6:05 PM,VietJet Air,1 hr 40 min,2024-06-15,"₫1,578,600"
UIH,HAN,10:20 AM,12:00 PM,VietJet Air,1 hr 40 min,2024-06-15,"₫2,269,800"
UIH,HAN,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-06-15,"₫2,604,600"
UIH,HAN,6:10 PM,7:50 PM,VietJet Air,1 hr 40 min,2024-06-15,"₫2,734,200"
UIH,HAN,6:30 PM,8:10 PM,Bamboo Airways,1 hr 40 min,2024-06-15,"₫3,162,000"
UIH,HAN,1:15 PM,2:50 PM,Vietnam Airlines,1 hr 35 min,2024-06-15,"₫3,171,000"
UIH,HAN,4:25 PM,6:05 PM,VietJet Air,1 hr 40 min,2024-06-16,"₫2,604,600"
UIH,HAN,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-06-16,"₫2,917,800"
UIH,HAN,6:10 PM,7:50 PM,VietJet Air,1 hr 40 min,2024-06-16,"₫3,112,200"
UIH,HAN,1:15 PM,2:50 PM,Vietnam Airlines,1 hr 35 min,2024-06-16,"₫5,192,000"
UIH,HAN,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-06-17,"₫1,891,800"
UIH,HAN,4:25 PM,6:05 PM,VietJet Air,1 hr 40 min,2024-06-17,"₫2,064,600"
UIH,HAN,4:35 PM,6:15 PM,Bamboo Airways,1 hr 40 min,2024-06-17,"₫2,464,000"
UIH,HAN,10:20 AM,12:00 PM,VietJet Air,1 hr 40 min,2024-06-17,"₫2,496,600"
UIH,HAN,6:10 PM,7:50 PM,VietJet Air,1 hr 40 min,2024-06-17,"₫2,917,800"
UIH,HAN,1:15 PM,2:50 PM,Vietnam Airlines,1 hr 35 min,2024-06-17,"₫3,171,000"
UIH,HAN,4:25 PM,6:05 PM,VietJet Air,1 hr 40 min,2024-06-18,"₫1,578,600"
UIH,HAN,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-06-18,"₫1,740,600"
UIH,HAN,10:20 AM,12:00 PM,VietJet Air,1 hr 40 min,2024-06-18,"₫1,740,600"
UIH,HAN,6:10 PM,7:50 PM,VietJet Air,1 hr 40 min,2024-06-18,"₫1,891,800"
UIH,HAN,6:30 PM,8:10 PM,Bamboo Airways,1 hr 40 min,2024-06-18,"₫2,270,000"
UIH,HAN,1:15 PM,2:50 PM,Vietnam Airlines,1 hr 35 min,2024-06-18,"₫3,065,000"
UIH,HAN,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-06-19,"₫1,740,600"
