Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VCA,HAN,8:55 AM,11:05 AM,VietJet Air,2 hr 10 min,2024-06-13,"₫2,084,600"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-13,"₫2,084,600"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-13,"₫2,599,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-13,"₫2,599,000"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-13,"₫2,599,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-14,"₫2,084,600"
VCA,HAN,8:55 AM,11:05 AM,VietJet Air,2 hr 10 min,2024-06-14,"₫2,289,800"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-14,"₫2,599,000"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-14,"₫2,599,000"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-14,"₫2,599,000"
VCA,HAN,8:55 AM,11:05 AM,VietJet Air,2 hr 10 min,2024-06-15,"₫2,289,800"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-15,"₫2,847,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-15,"₫2,516,600"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-15,"₫2,599,000"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-15,"₫3,430,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-16,"₫2,084,600"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-16,"₫2,847,000"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-16,"₫3,117,000"
VCA,HAN,8:55 AM,11:05 AM,VietJet Air,2 hr 10 min,2024-06-16,"₫3,283,400"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-16,"₫3,430,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-17,"₫2,084,600"
VCA,HAN,8:55 AM,11:05 AM,VietJet Air,2 hr 10 min,2024-06-17,"₫2,289,800"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-17,"₫2,340,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-17,"₫2,599,000"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-17,"₫2,599,000"
VCA,HAN,,,,,2024-06-17,
VCA,HAN,,,,,2024-06-17,
VCA,HAN,,,,,2024-06-17,
VCA,HAN,,,,,2024-06-17,
VCA,HAN,,,,,2024-06-17,
VCA,HAN,8:55 AM,11:05 AM,VietJet Air,2 hr 10 min,2024-06-18,"₫2,084,600"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-18,"₫2,084,600"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-18,"₫2,599,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-18,"₫2,599,000"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-18,"₫2,599,000"
VCA,HAN,8:55 AM,11:05 AM,VietJet Air,2 hr 10 min,2024-06-19,"₫2,084,600"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-19,"₫2,084,600"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-19,"₫2,340,000"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-19,"₫2,599,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-19,"₫2,599,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-20,"₫2,084,600"
VCA,HAN,8:55 AM,11:05 AM,VietJet Air,2 hr 10 min,2024-06-20,"₫2,084,600"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-20,"₫2,599,000"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-20,"₫2,599,000"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-20,"₫2,847,000"
VCA,HAN,,,,,2024-06-20,
VCA,HAN,,,,,2024-06-20,
VCA,HAN,,,,,2024-06-20,
VCA,HAN,,,,,2024-06-20,
VCA,HAN,,,,,2024-06-20,
VCA,DAD,2:45 PM,4:15 PM,VietJet Air,1 hr 30 min,2024-06-13,"₫2,084,600"
VCA,DAD,11:35 AM,1:05 PM,VietJet Air,1 hr 30 min,2024-06-13,"₫2,441,000"
