Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VCL,SGN,8:00 AM,9:25 AM,VietJet Air,1 hr 25 min,2024-06-13,"₫1,222,200"
VCL,SGN,7:55 PM,9:20 PM,VietJet Air,1 hr 25 min,2024-06-13,"₫1,222,200"
VCL,SGN,8:10 PM,9:40 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,369,000"
VCL,SGN,1:00 PM,2:20 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,524,600"
VCL,SGN,2:05 PM,3:25 PM,Vietnam Airlines,1 hr 20 min,2024-06-13,"₫1,639,000"
VCL,SGN,8:00 AM,9:25 AM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,222,200"
VCL,SGN,7:55 PM,9:20 PM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,222,200"
VCL,SGN,8:10 PM,10:05 PM,Vietnam Airlines,1 hr 55 min,2024-06-14,"₫1,369,000"
VCL,SGN,1:00 PM,2:20 PM,VietJet Air,1 hr 20 min,2024-06-14,"₫1,524,600"
VCL,SGN,2:05 PM,3:25 PM,Vietnam Airlines,1 hr 20 min,2024-06-14,"₫1,639,000"
VCL,SGN,7:55 PM,9:20 PM,VietJet Air,1 hr 25 min,2024-06-15,"₫1,222,200"
VCL,SGN,1:00 PM,2:20 PM,VietJet Air,1 hr 20 min,2024-06-15,"₫1,524,600"
VCL,SGN,2:05 PM,3:25 PM,Vietnam Airlines,1 hr 20 min,2024-06-15,"₫1,639,000"
VCL,SGN,8:10 PM,9:40 PM,Vietnam Airlines,1 hr 30 min,2024-06-15,"₫1,639,000"
VCL,SGN,8:00 AM,9:25 AM,VietJet Air,1 hr 25 min,2024-06-16,"₫1,362,600"
VCL,SGN,8:10 PM,9:40 PM,Vietnam Airlines,1 hr 30 min,2024-06-16,"₫1,780,000"
VCL,SGN,2:05 PM,3:25 PM,Vietnam Airlines,1 hr 20 min,2024-06-16,"₫1,931,000"
VCL,SGN,7:55 PM,9:20 PM,VietJet Air,1 hr 25 min,2024-06-16,"₫1,913,400"
VCL,SGN,1:00 PM,2:20 PM,VietJet Air,1 hr 20 min,2024-06-16,"₫2,064,600"
VCL,SGN,8:00 AM,9:25 AM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,222,200"
VCL,SGN,7:55 PM,9:20 PM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,222,200"
VCL,SGN,1:00 PM,2:20 PM,VietJet Air,1 hr 20 min,2024-06-17,"₫1,524,600"
VCL,SGN,2:05 PM,3:25 PM,Vietnam Airlines,1 hr 20 min,2024-06-17,"₫1,639,000"
VCL,SGN,8:10 PM,9:40 PM,Vietnam Airlines,1 hr 30 min,2024-06-17,"₫1,639,000"
VCL,SGN,7:55 PM,9:20 PM,VietJet Air,1 hr 25 min,2024-06-18,"₫1,222,200"
VCL,SGN,8:10 PM,9:40 PM,Vietnam Airlines,1 hr 30 min,2024-06-18,"₫1,369,000"
VCL,SGN,2:05 PM,3:25 PM,Vietnam Airlines,1 hr 20 min,2024-06-18,"₫1,499,000"
VCL,SGN,1:00 PM,2:20 PM,VietJet Air,1 hr 20 min,2024-06-18,"₫1,524,600"
VCL,SGN,8:00 AM,9:25 AM,VietJet Air,1 hr 25 min,2024-06-19,"₫1,222,200"
VCL,SGN,8:10 PM,9:40 PM,Vietnam Airlines,1 hr 30 min,2024-06-19,"₫1,369,000"
VCL,SGN,1:00 PM,2:20 PM,VietJet Air,1 hr 20 min,2024-06-19,"₫1,524,600"
VCL,SGN,2:05 PM,3:25 PM,Vietnam Airlines,1 hr 20 min,2024-06-19,"₫1,780,000"
VCL,SGN,7:55 PM,9:20 PM,VietJet Air,1 hr 25 min,2024-06-19,"₫2,421,000"
VCL,SGN,7:55 PM,9:20 PM,VietJet Air,1 hr 25 min,2024-06-20,"₫1,222,200"
VCL,SGN,8:10 PM,9:40 PM,Vietnam Airlines,1 hr 30 min,2024-06-20,"₫1,250,000"
VCL,SGN,2:05 PM,3:25 PM,Vietnam Airlines,1 hr 20 min,2024-06-20,"₫1,499,000"
VCL,SGN,1:00 PM,2:20 PM,VietJet Air,1 hr 20 min,2024-06-20,"₫1,524,600"
VCL,HAN,9:20 AM,10:50 AM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫2,093,000"
VCL,HAN,9:20 AM,10:50 AM,Vietnam Airlines,1 hr 30 min,2024-06-14,"₫1,780,000"
VCL,HAN,9:20 AM,10:50 AM,Vietnam Airlines,1 hr 30 min,2024-06-15,"₫1,931,000"
VCL,HAN,9:20 AM,10:50 AM,Vietnam Airlines,1 hr 30 min,2024-06-16,"₫2,428,000"
VCL,HAN,9:20 AM,10:50 AM,Vietnam Airlines,1 hr 30 min,2024-06-17,"₫2,093,000"
VCL,HAN,9:20 AM,10:50 AM,Vietnam Airlines,1 hr 30 min,2024-06-18,"₫1,639,000"
VCL,HAN,9:20 AM,10:50 AM,Vietnam Airlines,1 hr 30 min,2024-06-19,"₫1,931,000"
VCL,HAN,9:20 AM,10:50 AM,Vietnam Airlines,1 hr 30 min,2024-06-20,"₫1,780,000"
