Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-13,"₫1,790,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-14,"₫3,572,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-18,"₫1,885,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-19,"₫1,790,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-20,"₫1,790,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-13,"₫1,740,600"
VDH,SGN,6:20 PM,7:55 PM,VietJet Air,1 hr 35 min,2024-06-13,"₫1,740,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-13,"₫1,909,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-14,"₫1,891,800"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-14,"₫1,909,000"
VDH,SGN,6:20 PM,7:55 PM,VietJet Air,1 hr 35 min,2024-06-14,"₫2,269,800"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-15,"₫2,064,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-15,"₫2,287,000"
VDH,SGN,6:20 PM,7:55 PM,VietJet Air,1 hr 35 min,2024-06-15,"₫3,112,200"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-16,"₫2,064,600"
VDH,SGN,6:20 PM,7:55 PM,VietJet Air,1 hr 35 min,2024-06-16,"₫2,917,800"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-17,"₫1,740,600"
VDH,SGN,6:20 PM,7:55 PM,VietJet Air,1 hr 35 min,2024-06-17,"₫1,740,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-17,"₫1,909,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-18,"₫1,578,600"
VDH,SGN,6:20 PM,7:55 PM,VietJet Air,1 hr 35 min,2024-06-18,"₫1,578,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-18,"₫1,909,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-19,"₫1,578,600"
VDH,SGN,6:20 PM,7:55 PM,VietJet Air,1 hr 35 min,2024-06-19,"₫1,578,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-19,"₫1,909,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-20,"₫1,578,600"
VDH,SGN,6:20 PM,7:55 PM,VietJet Air,1 hr 35 min,2024-06-20,"₫1,578,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-20,"₫2,093,000"
