Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VII,SGN,9:40 PM,11:30 PM,Bamboo Airways,1 hr 50 min,2024-06-13,"₫1,674,000"
VII,SGN,6:00 AM,7:50 AM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,674,200"
VII,SGN,10:15 PM,12:05 AM+1,VietJet Air,1 hr 50 min,2024-06-13,"₫1,674,200"
VII,SGN,11:05 PM,12:55 AM+1,VietJet Air,1 hr 50 min,2024-06-13,"₫1,674,200"
VII,SGN,1:45 PM,3:45 PM,Vietnam Airlines,2 hr,2024-06-13,"₫2,145,000"
VII,SGN,9:55 PM,11:55 PM,Vietnam Airlines,2 hr,2024-06-13,"₫1,929,000"
VII,SGN,8:25 AM,10:15 AM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,976,600"
VII,SGN,1:05 PM,2:55 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,976,600"
VII,SGN,5:50 PM,7:40 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,976,600"
VII,SGN,7:15 PM,9:05 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,976,600"
VII,SGN,4:30 PM,6:30 PM,Vietnam Airlines,2 hr,2024-06-13,"₫2,145,000"
VII,SGN,9:35 AM,11:35 AM,Vietnam Airlines,2 hr,2024-06-13,"₫2,361,000"
VII,SGN,9:40 PM,11:30 PM,Bamboo Airways,1 hr 50 min,2024-06-14,"₫1,674,000"
VII,SGN,6:00 AM,7:50 AM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,674,200"
VII,SGN,10:15 PM,12:05 AM+1,VietJet Air,1 hr 50 min,2024-06-14,"₫1,674,200"
VII,SGN,11:05 PM,12:55 AM+1,VietJet Air,1 hr 50 min,2024-06-14,"₫1,674,200"
VII,SGN,8:25 AM,10:15 AM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,976,600"
VII,SGN,1:05 PM,2:55 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,976,600"
VII,SGN,5:50 PM,7:40 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,976,600"
VII,SGN,7:15 PM,9:05 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,976,600"
VII,SGN,4:30 PM,6:30 PM,Vietnam Airlines,2 hr,2024-06-14,"₫2,145,000"
VII,SGN,9:55 PM,11:55 PM,Vietnam Airlines,2 hr,2024-06-14,"₫2,145,000"
VII,SGN,9:35 AM,11:35 AM,Vietnam Airlines,2 hr,2024-06-14,"₫2,361,000"
VII,SGN,1:45 PM,3:45 PM,Vietnam Airlines,2 hr,2024-06-14,"₫2,361,000"
VII,SGN,6:00 AM,7:50 AM,VietJet Air,1 hr 50 min,2024-06-15,"₫1,674,200"
VII,SGN,10:15 PM,12:05 AM+1,VietJet Air,1 hr 50 min,2024-06-15,"₫1,674,200"
VII,SGN,11:05 PM,12:55 AM+1,VietJet Air,1 hr 50 min,2024-06-15,"₫1,674,200"
VII,SGN,1:05 PM,2:55 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫1,976,600"
VII,SGN,5:50 PM,7:40 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫1,976,600"
VII,SGN,7:15 PM,9:05 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫1,976,600"
VII,SGN,9:40 PM,11:30 PM,Bamboo Airways,1 hr 50 min,2024-06-15,"₫2,041,000"
VII,SGN,9:55 PM,11:55 PM,Vietnam Airlines,2 hr,2024-06-15,"₫2,145,000"
VII,SGN,4:30 PM,6:30 PM,Vietnam Airlines,2 hr,2024-06-15,"₫2,361,000"
VII,SGN,1:45 PM,3:45 PM,Vietnam Airlines,2 hr,2024-06-15,"₫2,577,000"
VII,SGN,9:40 PM,11:30 PM,Bamboo Airways,1 hr 50 min,2024-06-16,"₫1,674,000"
VII,SGN,6:00 AM,7:50 AM,VietJet Air,1 hr 50 min,2024-06-16,"₫1,803,800"
VII,SGN,9:35 AM,11:35 AM,Vietnam Airlines,2 hr,2024-06-16,"₫2,361,000"
VII,SGN,10:15 PM,12:05 AM+1,VietJet Air,1 hr 50 min,2024-06-16,"₫1,803,800"
VII,SGN,11:05 PM,12:55 AM+1,VietJet Air,1 hr 50 min,2024-06-16,"₫1,803,800"
VII,SGN,8:25 AM,10:15 AM,VietJet Air,1 hr 50 min,2024-06-16,"₫1,976,600"
VII,SGN,7:15 PM,9:05 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫1,976,600"
VII,SGN,1:05 PM,2:55 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫2,138,600"
VII,SGN,5:50 PM,7:40 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫2,138,600"
VII,SGN,9:55 PM,11:55 PM,Vietnam Airlines,2 hr,2024-06-16,"₫2,145,000"
VII,SGN,1:45 PM,3:45 PM,Vietnam Airlines,2 hr,2024-06-16,"₫2,577,000"
VII,SGN,4:30 PM,6:30 PM,Vietnam Airlines,2 hr,2024-06-16,"₫2,577,000"
VII,SGN,9:40 PM,11:30 PM,Bamboo Airways,1 hr 50 min,2024-06-17,"₫1,674,000"
VII,SGN,6:00 AM,7:50 AM,VietJet Air,1 hr 50 min,2024-06-17,"₫1,674,200"
VII,SGN,8:25 AM,10:15 AM,VietJet Air,1 hr 50 min,2024-06-17,"₫1,803,800"
VII,SGN,1:05 PM,2:55 PM,VietJet Air,1 hr 50 min,2024-06-17,"₫1,803,800"
VII,SGN,10:15 PM,12:05 AM+1,VietJet Air,1 hr 50 min,2024-06-17,"₫1,674,200"
VII,SGN,11:05 PM,12:55 AM+1,VietJet Air,1 hr 50 min,2024-06-17,"₫1,674,200"
VII,SGN,5:50 PM,7:40 PM,VietJet Air,1 hr 50 min,2024-06-17,"₫1,803,800"
VII,SGN,7:15 PM,9:05 PM,VietJet Air,1 hr 50 min,2024-06-17,"₫1,803,800"
VII,SGN,9:55 PM,11:55 PM,Vietnam Airlines,2 hr,2024-06-17,"₫1,929,000"
VII,SGN,1:45 PM,3:45 PM,Vietnam Airlines,2 hr,2024-06-17,"₫2,145,000"
VII,SGN,4:30 PM,6:30 PM,Vietnam Airlines,2 hr,2024-06-17,"₫2,145,000"
VII,SGN,9:35 AM,11:35 AM,Vietnam Airlines,2 hr,2024-06-17,"₫2,361,000"
VII,SGN,9:40 PM,11:30 PM,Bamboo Airways,1 hr 50 min,2024-06-18,"₫1,674,000"
VII,SGN,6:00 AM,7:50 AM,VietJet Air,1 hr 50 min,2024-06-18,"₫1,674,200"
VII,SGN,9:35 AM,11:35 AM,Vietnam Airlines,2 hr,2024-06-18,"₫2,145,000"
VII,SGN,10:15 PM,12:05 AM+1,VietJet Air,1 hr 50 min,2024-06-18,"₫1,674,200"
VII,SGN,11:05 PM,12:55 AM+1,VietJet Air,1 hr 50 min,2024-06-18,"₫1,674,200"
VII,SGN,9:55 PM,11:55 PM,Vietnam Airlines,2 hr,2024-06-18,"₫1,929,000"
VII,SGN,8:25 AM,10:15 AM,VietJet Air,1 hr 50 min,2024-06-18,"₫1,976,600"
VII,SGN,1:05 PM,2:55 PM,VietJet Air,1 hr 50 min,2024-06-18,"₫1,976,600"
VII,SGN,5:50 PM,7:40 PM,VietJet Air,1 hr 50 min,2024-06-18,"₫1,976,600"
VII,SGN,7:15 PM,9:05 PM,VietJet Air,1 hr 50 min,2024-06-18,"₫1,976,600"
VII,SGN,1:45 PM,3:45 PM,Vietnam Airlines,2 hr,2024-06-18,"₫2,145,000"
VII,SGN,4:30 PM,6:30 PM,Vietnam Airlines,2 hr,2024-06-18,"₫2,145,000"
VII,SGN,9:40 PM,11:30 PM,Bamboo Airways,1 hr 50 min,2024-06-19,"₫1,674,000"
VII,SGN,6:00 AM,7:50 AM,VietJet Air,1 hr 50 min,2024-06-19,"₫1,674,200"
VII,SGN,9:35 AM,11:35 AM,Vietnam Airlines,2 hr,2024-06-19,"₫2,145,000"
VII,SGN,10:15 PM,12:05 AM+1,VietJet Air,1 hr 50 min,2024-06-19,"₫1,674,200"
VII,SGN,11:05 PM,12:55 AM+1,VietJet Air,1 hr 50 min,2024-06-19,"₫1,674,200"
VII,SGN,9:55 PM,11:55 PM,Vietnam Airlines,2 hr,2024-06-19,"₫1,929,000"
VII,SGN,8:25 AM,10:15 AM,VietJet Air,1 hr 50 min,2024-06-19,"₫1,976,600"
VII,SGN,1:05 PM,2:55 PM,VietJet Air,1 hr 50 min,2024-06-19,"₫1,976,600"
VII,SGN,5:50 PM,7:40 PM,VietJet Air,1 hr 50 min,2024-06-19,"₫1,976,600"
VII,SGN,7:15 PM,9:05 PM,VietJet Air,1 hr 50 min,2024-06-19,"₫1,976,600"
VII,SGN,1:45 PM,3:45 PM,Vietnam Airlines,2 hr,2024-06-19,"₫2,145,000"
VII,SGN,4:30 PM,6:30 PM,Vietnam Airlines,2 hr,2024-06-19,"₫2,145,000"
VII,SGN,9:40 PM,11:30 PM,Bamboo Airways,1 hr 50 min,2024-06-20,"₫1,674,000"
VII,SGN,6:00 AM,7:50 AM,VietJet Air,1 hr 50 min,2024-06-20,"₫1,674,200"
VII,SGN,9:35 AM,11:35 AM,Vietnam Airlines,2 hr,2024-06-20,"₫2,145,000"
VII,SGN,10:15 PM,12:05 AM+1,VietJet Air,1 hr 50 min,2024-06-20,"₫1,674,200"
VII,SGN,11:05 PM,12:55 AM+1,VietJet Air,1 hr 50 min,2024-06-20,"₫1,674,200"
VII,SGN,9:55 PM,11:55 PM,Vietnam Airlines,2 hr,2024-06-20,"₫1,929,000"
VII,SGN,1:05 PM,2:55 PM,VietJet Air,1 hr 50 min,2024-06-20,"₫1,976,600"
VII,SGN,5:50 PM,7:40 PM,VietJet Air,1 hr 50 min,2024-06-20,"₫1,976,600"
VII,SGN,7:15 PM,9:05 PM,VietJet Air,1 hr 50 min,2024-06-20,"₫1,976,600"
VII,SGN,1:45 PM,3:45 PM,Vietnam Airlines,2 hr,2024-06-20,"₫2,145,000"
VII,SGN,4:30 PM,6:30 PM,Vietnam Airlines,2 hr,2024-06-20,"₫2,145,000"
VII,HAN,6:30 PM,7:25 PM,Vietnam Airlines,55 min,2024-06-13,"₫1,227,000"
VII,HAN,6:30 PM,7:25 PM,Vietnam Airlines,55 min,2024-06-14,"₫1,227,000"
VII,HAN,6:30 PM,7:25 PM,Vietnam Airlines,55 min,2024-06-15,"₫1,227,000"
VII,HAN,6:30 PM,7:25 PM,Vietnam Airlines,55 min,2024-06-16,"₫1,324,000"
VII,HAN,9:00 AM,9:55 AM,Vietnam Airlines,55 min,2024-06-17,"₫1,054,000"
VII,HAN,6:30 PM,7:25 PM,Vietnam Airlines,55 min,2024-06-17,"₫1,141,000"
VII,HAN,9:00 AM,9:55 AM,Vietnam Airlines,55 min,2024-06-18,"₫1,054,000"
VII,HAN,6:30 PM,7:25 PM,Vietnam Airlines,55 min,2024-06-18,"₫1,141,000"
VII,HAN,9:00 AM,9:55 AM,Vietnam Airlines,55 min,2024-06-19,"₫1,054,000"
VII,HAN,6:30 PM,7:25 PM,Vietnam Airlines,55 min,2024-06-19,"₫1,227,000"
VII,HAN,9:00 AM,9:55 AM,Vietnam Airlines,55 min,2024-06-20,"₫1,054,000"
VII,HAN,6:30 PM,7:25 PM,Vietnam Airlines,55 min,2024-06-20,"₫1,141,000"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-13,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-15,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-16,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,382,600"
VII,BMV,,,,,2024-06-17,
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-18,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-19,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-20,"₫1,382,600"
VII,DLI,10:55 AM,12:30 PM,VietJet Air,1 hr 35 min,2024-06-13,"₫1,760,600"
VII,DLI,,,,,2024-06-13,
VII,DLI,10:55 AM,12:30 PM,VietJet Air,1 hr 35 min,2024-06-14,"₫1,760,600"
VII,DLI,10:55 AM,12:30 PM,VietJet Air,1 hr 35 min,2024-06-15,"₫1,911,800"
VII,DLI,10:55 AM,12:30 PM,VietJet Air,1 hr 35 min,2024-06-16,"₫1,760,600"
VII,DLI,10:55 AM,12:30 PM,VietJet Air,1 hr 35 min,2024-06-17,"₫1,911,800"
VII,DLI,10:55 AM,12:30 PM,VietJet Air,1 hr 35 min,2024-06-18,"₫1,760,600"
VII,DLI,10:55 AM,12:30 PM,VietJet Air,1 hr 35 min,2024-06-19,"₫1,760,600"
VII,DLI,10:55 AM,12:30 PM,VietJet Air,1 hr 35 min,2024-06-20,"₫1,760,600"
VII,DLI,,,,,2024-06-20,
VII,VCA,6:15 PM,8:05 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,803,800"
VII,VCA,6:15 PM,8:05 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫1,803,800"
VII,VCA,6:15 PM,8:05 PM,VietJet Air,1 hr 50 min,2024-06-17,"₫1,803,800"
VII,VCA,6:15 PM,8:05 PM,VietJet Air,1 hr 50 min,2024-06-19,"₫1,803,800"
