origin,destination,depart_time,arrive_time,airliner,duration_min,date,price,airport_origin_name,airport_destination_name
THD,SGN,19:30:00,21:30:00,VietJet Air,120,2024-06-26,1783800,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,12:55:00,14:55:00,VietJet Air,120,2024-06-26,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:20:00,17:20:00,VietJet Air,120,2024-06-26,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,19:30:00,21:30:00,VietJet Air,120,2024-06-27,1783800,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,12:55:00,14:55:00,VietJet Air,120,2024-06-27,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,08:35:00,10:35:00,VietJet Air,120,2024-06-27,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:20:00,17:20:00,VietJet Air,120,2024-06-27,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:55:00,17:55:00,VietJet Air,120,2024-06-27,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,17:55:00,19:55:00,VietJet Air,120,2024-06-27,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,14:45:00,16:50:00,Vietnam Airlines,125,2024-06-27,2341000,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,12:55:00,14:55:00,VietJet Air,120,2024-06-28,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,08:35:00,10:35:00,VietJet Air,120,2024-06-28,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:20:00,17:20:00,VietJet Air,120,2024-06-28,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:55:00,17:55:00,VietJet Air,120,2024-06-28,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,17:55:00,19:55:00,VietJet Air,120,2024-06-28,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,19:30:00,21:30:00,VietJet Air,120,2024-06-29,1783800,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,08:35:00,10:35:00,VietJet Air,120,2024-06-29,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:55:00,17:55:00,VietJet Air,120,2024-06-29,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,17:55:00,19:55:00,VietJet Air,120,2024-06-29,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:55:00,17:55:00,VietJet Air,120,2024-06-30,2118600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,19:30:00,21:30:00,VietJet Air,120,2024-06-30,2118600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,14:45:00,16:50:00,Vietnam Airlines,125,2024-06-30,2557000,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,08:35:00,10:35:00,VietJet Air,120,2024-06-30,2302200,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,17:55:00,19:55:00,VietJet Air,120,2024-06-30,2302200,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:20:00,17:20:00,VietJet Air,120,2024-06-30,2712600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,21:40:00,23:40:00,VietJet Air,120,2024-07-01,1654200,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,19:30:00,21:30:00,VietJet Air,120,2024-07-01,1783800,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,12:55:00,14:55:00,VietJet Air,120,2024-07-01,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,08:35:00,10:35:00,VietJet Air,120,2024-07-01,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,19:30:00,21:30:00,VietJet Air,120,2024-07-02,1654200,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,21:40:00,23:40:00,VietJet Air,120,2024-07-02,1654200,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,08:35:00,10:35:00,VietJet Air,120,2024-07-02,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
THD,SGN,15:20:00,17:20:00,VietJet Air,120,2024-07-02,1956600,Tho Xuan Airport,Tan Son Nhat Intl Airport
