Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
BMV,HPH,1:15 PM,2:55 PM,VietJet Air,1 hr 40 min,2024-06-27,"₫1,598,600"
BMV,HPH,1:15 PM,2:55 PM,VietJet Air,1 hr 40 min,2024-06-29,"₫1,598,600"
BMV,HPH,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-07-01,"₫1,598,600"
BMV,HPH,1:15 PM,2:55 PM,VietJet Air,1 hr 40 min,2024-07-02,"₫1,598,600"
BMV,HPH,1:15 PM,2:55 PM,VietJet Air,1 hr 40 min,2024-07-04,"₫1,911,800"
BMV,HPH,1:15 PM,2:55 PM,VietJet Air,1 hr 40 min,2024-07-06,"₫1,911,800"
BMV,HPH,8:15 AM,9:55 AM,VietJet Air,1 hr 40 min,2024-07-08,"₫1,598,600"
BMV,HPH,1:15 PM,2:55 PM,VietJet Air,1 hr 40 min,2024-07-09,"₫1,760,600"
BMV,HPH,1:15 PM,2:55 PM,VietJet Air,1 hr 40 min,2024-07-11,"₫1,760,600"
BMV,HPH,1:15 PM,2:55 PM,VietJet Air,1 hr 40 min,2024-07-13,"₫2,084,600"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-26,"₫1,544,600"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-06-26,"₫1,674,200"
BMV,HAN,10:00 AM,11:50 AM,Vietnam Airlines,1 hr 50 min,2024-06-26,"₫1,929,000"
BMV,HAN,,,,,2024-06-26,
BMV,HAN,,,,,2024-06-26,
BMV,HAN,,,,,2024-06-26,
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-27,"₫1,674,200"
BMV,HAN,10:00 AM,11:50 AM,Vietnam Airlines,1 hr 50 min,2024-06-27,"₫1,929,000"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-06-27,"₫1,976,600"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-06-28,"₫1,674,200"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-28,"₫1,674,200"
BMV,HAN,10:00 AM,11:50 AM,Vietnam Airlines,1 hr 50 min,2024-06-28,"₫1,929,000"
BMV,HAN,,,,,2024-06-28,
BMV,HAN,,,,,2024-06-28,
BMV,HAN,,,,,2024-06-28,
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-06-29,"₫1,674,200"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-29,"₫1,674,200"
BMV,HAN,10:00 AM,11:50 AM,Vietnam Airlines,1 hr 50 min,2024-06-29,"₫2,145,000"
BMV,HAN,,,,,2024-06-29,
BMV,HAN,,,,,2024-06-29,
BMV,HAN,,,,,2024-06-29,
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-06-30,"₫1,803,800"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-30,"₫1,803,800"
BMV,HAN,10:00 AM,11:50 AM,Vietnam Airlines,1 hr 50 min,2024-06-30,"₫2,577,000"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-07-01,"₫1,674,200"
BMV,HAN,11:30 PM,1:15 AM+1,VietJet Air,1 hr 45 min,2024-07-01,"₫1,674,200"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-07-01,"₫1,803,800"
BMV,HAN,10:05 AM,11:50 AM,Vietnam Airlines,1 hr 45 min,2024-07-01,"₫2,361,000"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-07-02,"₫1,544,600"
BMV,HAN,11:30 PM,1:15 AM+1,VietJet Air,1 hr 45 min,2024-07-02,"₫1,544,600"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-07-02,"₫1,674,200"
BMV,HAN,10:05 AM,11:50 AM,Vietnam Airlines,1 hr 45 min,2024-07-02,"₫1,929,000"
BMV,HAN,,,,,2024-07-02,
BMV,HAN,,,,,2024-07-02,
BMV,HAN,,,,,2024-07-02,
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-07-03,"₫1,544,600"
BMV,HAN,11:30 PM,1:15 AM+1,VietJet Air,1 hr 45 min,2024-07-03,"₫1,544,600"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-07-03,"₫1,674,200"
BMV,HAN,,,,,2024-07-03,
BMV,HAN,,,,,2024-07-03,
BMV,HAN,,,,,2024-07-03,
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-07-04,"₫1,544,600"
BMV,HAN,11:30 PM,1:15 AM+1,VietJet Air,1 hr 45 min,2024-07-04,"₫1,544,600"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-07-04,"₫1,674,200"
BMV,HAN,11:30 PM,1:15 AM+1,VietJet Air,1 hr 45 min,2024-07-05,"₫1,544,600"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-07-05,"₫1,674,200"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-07-05,"₫1,674,200"
BMV,HAN,11:30 PM,1:15 AM+1,VietJet Air,1 hr 45 min,2024-07-06,"₫1,544,600"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-07-06,"₫1,674,200"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-07-06,"₫1,674,200"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-07-07,"₫1,674,200"
BMV,HAN,11:30 PM,1:15 AM+1,VietJet Air,1 hr 45 min,2024-07-07,"₫1,674,200"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-07-07,"₫1,976,600"
BMV,HAN,8:25 AM,10:10 AM,VietJet Air,1 hr 45 min,2024-07-08,"₫1,674,200"
BMV,HAN,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-07-08,"₫1,674,200"
BMV,HAN,11:30 PM,1:15 AM+1,VietJet Air,1 hr 45 min,2024-07-08,"₫1,674,200"
