Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-06-26,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-06-27,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-06-29,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-01,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-02,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-03,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-04,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-06,"₫1,176,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-08,"₫1,554,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-09,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-10,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-11,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-13,"₫1,090,000"
CAH,SGN,3:00 PM,4:15 PM,Vietnam Airlines,1 hr 15 min,2024-07-15,"₫1,176,000"
