Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
CXR,HAN,10:30 PM,12:20 AM+1,VietJet Air,1 hr 50 min,2024-06-13,"₫1,436,600"
CXR,HAN,11:00 PM,12:40 AM+1,VietJet Air,1 hr 40 min,2024-06-13,"₫1,436,600"
CXR,HAN,2:05 AM,4:05 AM,Vietnam Airlines,2 hr,2024-06-13,"₫1,648,000"
CXR,HAN,8:20 AM,10:10 AM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,803,800"
CXR,HAN,11:15 AM,1:05 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,803,800"
CXR,HAN,11:50 PM,1:50 AM+1,Vietnam Airlines,2 hr,2024-06-13,"₫1,875,000"
CXR,HAN,9:15 AM,11:15 AM,Vietnam Airlines,2 hr,2024-06-13,"₫2,340,000"
CXR,HAN,9:40 PM,11:30 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫2,516,600"
CXR,HAN,3:40 PM,5:35 PM,Bamboo Airways,1 hr 55 min,2024-06-13,"₫2,560,000"
CXR,HAN,12:35 PM,2:30 PM,Vietnam Airlines,1 hr 55 min,2024-06-13,"₫2,826,000"
CXR,HAN,6:20 PM,8:20 PM,Vietnam Airlines,2 hr,2024-06-13,"₫2,826,000"
CXR,HAN,6:55 PM,9:00 PM,Vietnam Airlines,2 hr 5 min,2024-06-13,"₫2,826,000"
CXR,HAN,3:40 PM,5:40 PM,Vietnam Airlines,2 hr,2024-06-13,"₫3,042,000"
CXR,HAN,4:00 PM,6:00 PM,Vietnam Airlines,2 hr,2024-06-13,"₫3,042,000"
CXR,HAN,2:20 PM,4:10 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫3,531,800"
CXR,HAN,11:40 PM,1:30 AM+1,VietJet Air,1 hr 50 min,2024-06-14,"₫1,436,600"
CXR,HAN,2:05 AM,4:05 AM,Vietnam Airlines,2 hr,2024-06-14,"₫1,648,000"
CXR,HAN,11:50 PM,1:50 AM+1,Vietnam Airlines,2 hr,2024-06-14,"₫1,648,000"
CXR,HAN,8:00 AM,9:50 AM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,803,800"
CXR,HAN,8:20 AM,10:10 AM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,803,800"
CXR,HAN,11:20 PM,1:20 AM+1,Vietnam Airlines,2 hr,2024-06-14,"₫1,875,000"
CXR,HAN,11:40 PM,1:40 AM+1,Vietnam Airlines,2 hr,2024-06-14,"₫1,875,000"
CXR,HAN,11:15 AM,1:05 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,976,600"
CXR,HAN,3:40 PM,5:35 PM,Bamboo Airways,1 hr 55 min,2024-06-14,"₫2,311,000"
CXR,HAN,9:15 AM,11:15 AM,Vietnam Airlines,2 hr,2024-06-14,"₫2,340,000"
CXR,HAN,12:35 PM,2:30 PM,Vietnam Airlines,1 hr 55 min,2024-06-14,"₫2,826,000"
CXR,HAN,6:20 PM,8:20 PM,Vietnam Airlines,2 hr,2024-06-14,"₫2,826,000"
CXR,HAN,6:55 PM,9:00 PM,Vietnam Airlines,2 hr 5 min,2024-06-14,"₫2,826,000"
CXR,HAN,2:20 PM,4:10 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫2,916,200"
CXR,HAN,7:45 PM,9:35 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫3,132,200"
CXR,HAN,2:40 PM,4:40 PM,Vietnam Airlines,2 hr,2024-06-14,"₫3,376,000"
CXR,HAN,3:40 PM,5:40 PM,Vietnam Airlines,2 hr,2024-06-14,"₫3,376,000"
CXR,HAN,10:30 PM,12:20 AM+1,VietJet Air,1 hr 50 min,2024-06-15,"₫1,544,600"
CXR,HAN,12:40 AM,2:40 AM,Vietnam Airlines,2 hr,2024-06-15,"₫1,648,000"
CXR,HAN,11:15 AM,1:05 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫1,803,800"
CXR,HAN,11:50 PM,1:50 AM+1,Vietnam Airlines,2 hr,2024-06-15,"₫1,875,000"
CXR,HAN,8:20 AM,10:10 AM,VietJet Air,1 hr 50 min,2024-06-15,"₫1,976,600"
CXR,HAN,11:50 AM,2:00 PM,VietJet Air,2 hr 10 min,2024-06-15,"₫1,976,600"
CXR,HAN,9:15 AM,11:15 AM,Vietnam Airlines,2 hr,2024-06-15,"₫2,588,000"
CXR,HAN,3:40 PM,5:35 PM,Bamboo Airways,1 hr 55 min,2024-06-15,"₫3,100,000"
CXR,HAN,12:35 PM,2:30 PM,Vietnam Airlines,1 hr 55 min,2024-06-15,"₫3,204,000"
CXR,HAN,6:55 PM,9:00 PM,Vietnam Airlines,2 hr 5 min,2024-06-15,"₫3,204,000"
CXR,HAN,4:00 PM,6:00 PM,Vietnam Airlines,2 hr,2024-06-15,"₫3,376,000"
CXR,HAN,2:20 PM,4:10 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫3,380,600"
CXR,HAN,3:40 PM,5:40 PM,Vietnam Airlines,2 hr,2024-06-15,"₫3,560,000"
CXR,HAN,9:40 PM,11:30 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫3,683,000"
CXR,HAN,10:30 PM,12:20 AM+1,VietJet Air,1 hr 50 min,2024-06-16,"₫1,674,200"
CXR,HAN,8:20 AM,10:10 AM,VietJet Air,1 hr 50 min,2024-06-16,"₫1,803,800"
CXR,HAN,2:05 AM,4:05 AM,Vietnam Airlines,2 hr,2024-06-16,"₫1,875,000"
CXR,HAN,11:50 PM,1:50 AM+1,Vietnam Airlines,2 hr,2024-06-16,"₫1,875,000"
CXR,HAN,11:15 AM,1:05 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫2,322,200"
CXR,HAN,9:15 AM,11:15 AM,Vietnam Airlines,2 hr,2024-06-16,"₫3,376,000"
CXR,HAN,3:40 PM,5:35 PM,Bamboo Airways,1 hr 55 min,2024-06-16,"₫3,672,000"
CXR,HAN,2:20 PM,4:10 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫3,683,000"
CXR,HAN,7:45 PM,9:35 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫3,683,000"
CXR,HAN,12:35 PM,2:30 PM,Vietnam Airlines,1 hr 55 min,2024-06-16,"₫3,741,000"
CXR,HAN,3:25 PM,5:25 PM,Vietnam Airlines,2 hr,2024-06-16,"₫3,741,000"
CXR,HAN,3:40 PM,5:40 PM,Vietnam Airlines,2 hr,2024-06-16,"₫3,741,000"
CXR,HAN,6:55 PM,9:00 PM,Vietnam Airlines,2 hr 5 min,2024-06-16,"₫3,741,000"
CXR,HAN,2:40 PM,4:40 PM,Vietnam Airlines,2 hr,2024-06-16,"₫7,156,000"
CXR,HAN,10:30 PM,12:20 AM+1,VietJet Air,1 hr 50 min,2024-06-17,"₫1,544,600"
CXR,HAN,2:05 AM,4:05 AM,Vietnam Airlines,2 hr,2024-06-17,"₫1,648,000"
CXR,HAN,11:50 PM,1:50 AM+1,Vietnam Airlines,2 hr,2024-06-17,"₫1,648,000"
CXR,HAN,8:00 AM,9:50 AM,VietJet Air,1 hr 50 min,2024-06-17,"₫1,803,800"
CXR,HAN,11:40 PM,1:40 AM+1,Vietnam Airlines,2 hr,2024-06-17,"₫1,875,000"
CXR,HAN,8:20 AM,10:10 AM,VietJet Air,1 hr 50 min,2024-06-17,"₫1,976,600"
CXR,HAN,11:15 AM,1:05 PM,VietJet Air,1 hr 50 min,2024-06-17,"₫2,322,200"
CXR,HAN,7:45 PM,9:35 PM,VietJet Air,1 hr 50 min,2024-06-17,"₫2,916,200"
CXR,HAN,9:15 AM,11:15 AM,Vietnam Airlines,2 hr,2024-06-17,"₫3,042,000"
CXR,HAN,6:55 PM,9:00 PM,Vietnam Airlines,2 hr 5 min,2024-06-17,"₫3,042,000"
CXR,HAN,12:35 PM,2:30 PM,Vietnam Airlines,1 hr 55 min,2024-06-17,"₫3,204,000"
CXR,HAN,2:40 PM,4:40 PM,Vietnam Airlines,2 hr,2024-06-17,"₫3,204,000"
CXR,HAN,3:25 PM,5:25 PM,Vietnam Airlines,2 hr,2024-06-17,"₫3,204,000"
CXR,HAN,3:40 PM,5:40 PM,Vietnam Airlines,2 hr,2024-06-17,"₫3,204,000"
CXR,HAN,3:40 PM,5:35 PM,Bamboo Airways,1 hr 55 min,2024-06-17,"₫3,381,000"
CXR,HAN,2:20 PM,4:10 PM,VietJet Air,1 hr 50 min,2024-06-17,"₫3,683,000"
CXR,HAN,10:30 PM,12:20 AM+1,VietJet Air,1 hr 50 min,2024-06-18,"₫1,436,600"
CXR,HAN,11:00 PM,12:40 AM+1,VietJet Air,1 hr 40 min,2024-06-18,"₫1,436,600"
CXR,HAN,11:50 PM,1:50 AM+1,Vietnam Airlines,2 hr,2024-06-18,"₫1,875,000"
CXR,HAN,8:20 AM,10:10 AM,VietJet Air,1 hr 50 min,2024-06-18,"₫1,803,800"
CXR,HAN,11:15 AM,1:05 PM,VietJet Air,1 hr 50 min,2024-06-18,"₫1,803,800"
CXR,HAN,11:40 PM,1:40 AM+1,Vietnam Airlines,2 hr,2024-06-18,"₫2,102,000"
CXR,HAN,9:15 AM,11:15 AM,Vietnam Airlines,2 hr,2024-06-18,"₫2,826,000"
CXR,HAN,8:55 PM,10:55 PM,Vietnam Airlines,2 hr,2024-06-18,"₫2,826,000"
CXR,HAN,9:40 PM,11:30 PM,VietJet Air,1 hr 50 min,2024-06-18,"₫2,916,200"
CXR,HAN,6:55 PM,9:00 PM,Vietnam Airlines,2 hr 5 min,2024-06-18,"₫3,376,000"
CXR,HAN,3:40 PM,5:35 PM,Bamboo Airways,1 hr 55 min,2024-06-18,"₫3,381,000"
CXR,HAN,2:20 PM,4:10 PM,VietJet Air,1 hr 50 min,2024-06-18,"₫3,683,000"
CXR,HAN,12:35 PM,2:30 PM,Vietnam Airlines,1 hr 55 min,2024-06-18,"₫3,741,000"
CXR,HAN,3:25 PM,5:25 PM,Vietnam Airlines,2 hr,2024-06-18,"₫3,741,000"
CXR,HAN,2:40 PM,4:40 PM,Vietnam Airlines,2 hr,2024-06-18,"₫7,156,000"
CXR,HAN,3:40 PM,5:40 PM,Vietnam Airlines,2 hr,2024-06-18,"₫7,156,000"
CXR,HAN,10:30 PM,12:20 AM+1,VietJet Air,1 hr 50 min,2024-06-19,"₫1,436,600"
CXR,HAN,2:05 AM,4:05 AM,Vietnam Airlines,2 hr,2024-06-19,"₫1,648,000"
CXR,HAN,11:20 PM,1:20 AM+1,Vietnam Airlines,2 hr,2024-06-19,"₫1,648,000"
CXR,HAN,8:00 AM,9:50 AM,VietJet Air,1 hr 50 min,2024-06-19,"₫1,803,800"
