Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
DLI,HPH,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-14,"₫2,916,200"
DLI,HPH,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-16,"₫2,916,200"
DLI,HPH,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-17,"₫2,916,200"
DLI,HPH,5:50 PM,7:35 PM,VietJet Air,1 hr 45 min,2024-06-19,"₫2,916,200"
DLI,HAN,10:00 PM,11:50 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,803,800"
DLI,HAN,9:50 PM,11:45 PM,Vietnam Airlines,1 hr 55 min,2024-06-13,"₫1,864,000"
DLI,HAN,10:45 AM,12:35 PM,Bamboo Airways,1 hr 50 min,2024-06-13,"₫1,998,000"
DLI,HAN,1:25 PM,3:15 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,976,600"
DLI,HAN,7:05 PM,9:05 PM,VietJet Air,2 hr,2024-06-13,"₫1,976,600"
DLI,HAN,8:35 PM,10:25 PM,VietJet Air,1 hr 50 min,2024-06-13,"₫1,976,600"
DLI,HAN,2:45 PM,4:45 PM,Vietnam Airlines,2 hr,2024-06-13,"₫2,912,000"
DLI,HAN,8:35 PM,10:25 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫1,803,800"
DLI,HAN,10:45 AM,12:35 PM,Bamboo Airways,1 hr 50 min,2024-06-14,"₫1,998,000"
DLI,HAN,9:50 PM,11:45 PM,Vietnam Airlines,1 hr 55 min,2024-06-14,"₫2,286,000"
DLI,HAN,1:25 PM,3:15 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫2,138,600"
DLI,HAN,7:05 PM,9:05 PM,VietJet Air,2 hr,2024-06-14,"₫2,516,600"
DLI,HAN,10:00 PM,11:50 PM,VietJet Air,1 hr 50 min,2024-06-14,"₫2,516,600"
DLI,HAN,2:45 PM,4:45 PM,Vietnam Airlines,2 hr,2024-06-14,"₫3,312,000"
DLI,HAN,10:45 AM,12:35 PM,Bamboo Airways,1 hr 50 min,2024-06-15,"₫1,998,000"
DLI,HAN,1:25 PM,3:15 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫2,138,600"
DLI,HAN,9:50 PM,11:45 PM,Vietnam Airlines,1 hr 55 min,2024-06-15,"₫2,286,000"
DLI,HAN,8:35 PM,10:25 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫2,138,600"
DLI,HAN,10:00 PM,11:50 PM,VietJet Air,1 hr 50 min,2024-06-15,"₫2,138,600"
DLI,HAN,7:05 PM,9:05 PM,VietJet Air,2 hr,2024-06-15,"₫2,322,200"
DLI,HAN,2:45 PM,4:45 PM,Vietnam Airlines,2 hr,2024-06-15,"₫2,912,000"
DLI,HAN,9:30 AM,11:30 AM,Vietnam Airlines,2 hr,2024-06-16,"₫1,864,000"
DLI,HAN,10:00 PM,11:50 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫2,138,600"
DLI,HAN,10:45 AM,12:35 PM,Bamboo Airways,1 hr 50 min,2024-06-16,"₫2,344,000"
DLI,HAN,1:25 PM,3:15 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫2,322,200"
DLI,HAN,7:05 PM,9:05 PM,VietJet Air,2 hr,2024-06-16,"₫2,322,200"
DLI,HAN,9:50 PM,11:45 PM,Vietnam Airlines,1 hr 55 min,2024-06-16,"₫2,491,000"
DLI,HAN,8:35 PM,10:25 PM,VietJet Air,1 hr 50 min,2024-06-16,"₫2,516,600"
DLI,HAN,2:45 PM,4:45 PM,Vietnam Airlines,2 hr,2024-06-16,"₫2,912,000"
