Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-26,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-06-26,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-26,"₫1,929,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-27,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-06-27,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-27,"₫2,145,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-28,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-06-28,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-28,"₫2,577,000"
HAN,BMV,,,,,2024-06-28,
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-06-29,"₫1,803,800"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-29,"₫1,976,600"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-29,"₫2,577,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-06-30,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-06-30,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-06-30,"₫2,145,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-01,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-01,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-01,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-01,"₫1,929,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-02,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-02,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-02,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-02,"₫1,929,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-03,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-03,"₫1,803,800"
HAN,BMV,9:35 PM,11:05 PM,VietJet Air,1 hr 30 min,2024-07-03,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-03,"₫1,929,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-04,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-04,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-04,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-04,"₫2,145,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-05,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-05,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-05,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-05,"₫2,577,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-06,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-06,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-06,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-06,"₫2,577,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-07,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-07,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-07,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-07,"₫1,929,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-08,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-08,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-08,"₫1,803,800"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-09,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-09,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-09,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-09,"₫5,235,496"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-10,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-10,"₫1,803,800"
HAN,BMV,9:35 PM,11:05 PM,VietJet Air,1 hr 30 min,2024-07-10,"₫1,803,800"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-11,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-11,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-11,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-11,"₫6,058,943"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-12,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-12,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-12,"₫1,976,600"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-12,"₫8,529,283"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-13,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-13,"₫1,803,800"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-13,"₫1,976,600"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-13,"₫2,361,000"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-14,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-14,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-14,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-14,"₫6,058,943"
HAN,BMV,6:15 AM,8:00 AM,VietJet Air,1 hr 45 min,2024-07-15,"₫1,803,800"
HAN,BMV,3:40 PM,5:25 PM,VietJet Air,1 hr 45 min,2024-07-15,"₫1,803,800"
HAN,BMV,9:15 PM,10:55 PM,VietJet Air,1 hr 40 min,2024-07-15,"₫1,803,800"
HAN,BMV,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-07-15,"₫5,235,496"
HAN,VCA,11:15 AM,1:30 PM,Vietnam Airlines,2 hr 15 min,2024-06-26,"₫2,340,000"
HAN,VCA,6:10 AM,8:20 AM,VietJet Air,2 hr 10 min,2024-06-26,"₫2,084,600"
HAN,VCA,8:45 AM,11:00 AM,VietJet Air,2 hr 15 min,2024-06-26,"₫2,289,800"
HAN,VCA,6:35 AM,8:55 AM,Vietnam Airlines,2 hr 20 min,2024-06-26,"₫2,340,000"
HAN,VCA,4:45 PM,7:05 PM,Vietnam Airlines,2 hr 20 min,2024-06-26,"₫2,340,000"
HAN,VCA,8:45 AM,11:00 AM,VietJet Air,2 hr 15 min,2024-06-27,"₫2,289,800"
HAN,VCA,6:35 AM,8:55 AM,Vietnam Airlines,2 hr 20 min,2024-06-27,"₫2,340,000"
HAN,VCA,11:15 AM,1:30 PM,Vietnam Airlines,2 hr 15 min,2024-06-27,"₫2,340,000"
HAN,VCA,6:10 AM,8:20 AM,VietJet Air,2 hr 10 min,2024-06-27,"₫2,289,800"
HAN,VCA,4:45 PM,7:05 PM,Vietnam Airlines,2 hr 20 min,2024-06-27,"₫2,599,000"
HAN,VCA,8:45 AM,11:00 AM,VietJet Air,2 hr 15 min,2024-06-28,"₫2,289,800"
HAN,VCA,11:15 AM,1:30 PM,Vietnam Airlines,2 hr 15 min,2024-06-28,"₫2,599,000"
HAN,VCA,6:10 AM,8:20 AM,VietJet Air,2 hr 10 min,2024-06-28,"₫2,289,800"
HAN,VCA,6:35 AM,8:55 AM,Vietnam Airlines,2 hr 20 min,2024-06-28,"₫2,599,000"
HAN,VCA,4:45 PM,7:05 PM,Vietnam Airlines,2 hr 20 min,2024-06-28,"₫2,599,000"
HAN,VCA,8:45 AM,11:00 AM,VietJet Air,2 hr 15 min,2024-06-29,"₫2,289,800"
HAN,VCA,4:45 PM,7:05 PM,Vietnam Airlines,2 hr 20 min,2024-06-29,"₫2,340,000"
HAN,VCA,11:15 AM,1:30 PM,Vietnam Airlines,2 hr 15 min,2024-06-29,"₫2,599,000"
HAN,VCA,6:10 AM,8:20 AM,VietJet Air,2 hr 10 min,2024-06-29,"₫2,289,800"
HAN,VCA,6:35 AM,8:55 AM,Vietnam Airlines,2 hr 20 min,2024-06-29,"₫2,599,000"
HAN,VCA,8:45 AM,11:00 AM,VietJet Air,2 hr 15 min,2024-06-30,"₫2,289,800"
HAN,VCA,6:35 AM,8:55 AM,Vietnam Airlines,2 hr 20 min,2024-06-30,"₫2,340,000"
HAN,VCA,11:15 AM,1:30 PM,Vietnam Airlines,2 hr 15 min,2024-06-30,"₫2,340,000"
HAN,VCA,6:10 AM,8:20 AM,VietJet Air,2 hr 10 min,2024-06-30,"₫2,289,800"
HAN,VCA,4:45 PM,7:05 PM,Vietnam Airlines,2 hr 20 min,2024-06-30,"₫2,599,000"
HAN,VCA,8:45 AM,11:00 AM,VietJet Air,2 hr 15 min,2024-07-01,"₫2,289,800"
HAN,VCA,6:35 AM,8:50 AM,Vietnam Airlines,2 hr 15 min,2024-07-01,"₫2,340,000"
HAN,VCA,11:15 AM,1:30 PM,Vietnam Airlines,2 hr 15 min,2024-07-01,"₫2,340,000"
HAN,VCA,6:10 AM,8:20 AM,VietJet Air,2 hr 10 min,2024-07-01,"₫2,289,800"
HAN,VCA,4:45 PM,7:00 PM,Vietnam Airlines,2 hr 15 min,2024-07-01,"₫2,847,000"
