Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-06-26,"₫1,382,600"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-26,"₫1,544,600"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-26,"₫1,875,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-26,"₫2,026,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-26,"₫2,178,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-06-27,"₫1,382,600"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-27,"₫1,544,600"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-27,"₫1,875,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-27,"₫2,026,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-27,"₫2,026,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-06-28,"₫1,382,600"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-28,"₫1,544,600"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-28,"₫1,746,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-28,"₫1,875,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-28,"₫2,318,000"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-29,"₫1,544,600"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-06-29,"₫1,663,400"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-29,"₫2,178,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-29,"₫2,318,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-29,"₫2,318,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-06-30,"₫2,084,600"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-06-30,"₫2,084,600"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-06-30,"₫2,499,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-06-30,"₫2,499,000"
HUI,HAN,9:30 PM,10:45 PM,Vietnam Airlines,1 hr 15 min,2024-06-30,"₫2,499,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-07-01,"₫1,663,400"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-07-01,"₫1,793,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-07-01,"₫2,178,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-07-01,"₫2,448,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-07-02,"₫1,663,400"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-07-02,"₫1,663,400"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-07-02,"₫1,875,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-07-02,"₫2,026,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-07-03,"₫1,544,600"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-07-03,"₫1,663,400"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-07-03,"₫2,026,000"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-07-03,"₫2,318,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-07-04,"₫1,793,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-07-04,"₫1,875,000"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-07-04,"₫1,933,400"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-07-04,"₫2,026,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-07-05,"₫1,544,600"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-07-05,"₫1,663,400"
HUI,HAN,6:30 PM,7:50 PM,Vietnam Airlines,1 hr 20 min,2024-07-05,"₫1,875,000"
HUI,HAN,10:00 AM,11:20 AM,Vietnam Airlines,1 hr 20 min,2024-07-05,"₫2,318,000"
HUI,HAN,12:55 PM,2:10 PM,VietJet Air,1 hr 15 min,2024-07-06,"₫1,793,000"
HUI,HAN,7:20 PM,8:35 PM,VietJet Air,1 hr 15 min,2024-07-06,"₫1,793,000"
