Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
PQC,HAN,7:45 AM,9:45 AM,VietJet Air,2 hr,2024-06-13,"₫1,868,600"
PQC,HAN,9:40 PM,11:50 PM,Vietnam Airlines,2 hr 10 min,2024-06-13,"₫1,929,000"
PQC,HAN,9:10 AM,11:15 AM,VietJet Air,2 hr 5 min,2024-06-13,"₫2,084,600"
PQC,HAN,8:50 PM,10:55 PM,VietJet Air,2 hr 5 min,2024-06-13,"₫2,289,800"
PQC,HAN,12:55 PM,3:00 PM,VietJet Air,2 hr 5 min,2024-06-13,"₫2,516,600"
PQC,HAN,6:00 PM,8:05 PM,VietJet Air,2 hr 5 min,2024-06-13,"₫2,516,600"
PQC,HAN,11:55 AM,2:05 PM,Vietnam Airlines,2 hr 10 min,2024-06-13,"₫3,279,000"
PQC,HAN,2:00 PM,4:10 PM,Vietnam Airlines,2 hr 10 min,2024-06-13,"₫3,279,000"
PQC,HAN,7:45 AM,9:45 AM,VietJet Air,2 hr,2024-06-14,"₫1,868,600"
PQC,HAN,9:10 AM,11:15 AM,VietJet Air,2 hr 5 min,2024-06-14,"₫2,084,600"
PQC,HAN,6:00 PM,8:05 PM,VietJet Air,2 hr 5 min,2024-06-14,"₫2,289,800"
PQC,HAN,8:50 PM,10:55 PM,VietJet Air,2 hr 5 min,2024-06-14,"₫2,289,800"
PQC,HAN,12:55 PM,3:00 PM,VietJet Air,2 hr 5 min,2024-06-14,"₫2,516,600"
PQC,HAN,2:00 PM,4:10 PM,Vietnam Airlines,2 hr 10 min,2024-06-14,"₫3,560,000"
PQC,HAN,11:55 AM,2:05 PM,Vietnam Airlines,2 hr 10 min,2024-06-14,"₫4,165,000"
PQC,HAN,7:45 AM,9:45 AM,VietJet Air,2 hr,2024-06-15,"₫1,868,600"
PQC,HAN,9:10 AM,11:15 AM,VietJet Air,2 hr 5 min,2024-06-15,"₫2,084,600"
PQC,HAN,8:50 PM,10:55 PM,VietJet Air,2 hr 5 min,2024-06-15,"₫2,084,600"
PQC,HAN,12:55 PM,3:00 PM,VietJet Air,2 hr 5 min,2024-06-15,"₫2,516,600"
PQC,HAN,6:00 PM,8:05 PM,VietJet Air,2 hr 5 min,2024-06-15,"₫2,516,600"
PQC,HAN,9:40 PM,11:50 PM,Vietnam Airlines,2 hr 10 min,2024-06-15,"₫2,761,000"
PQC,HAN,2:00 PM,4:10 PM,Vietnam Airlines,2 hr 10 min,2024-06-15,"₫3,560,000"
PQC,HAN,11:55 AM,2:05 PM,Vietnam Airlines,2 hr 10 min,2024-06-15,"₫4,389,000"
PQC,HAN,,,,,2024-06-15,
PQC,HAN,,,,,2024-06-15,
PQC,HAN,,,,,2024-06-15,
PQC,HAN,,,,,2024-06-15,
PQC,HAN,,,,,2024-06-15,
PQC,HAN,,,,,2024-06-15,
PQC,HAN,,,,,2024-06-15,
PQC,HAN,,,,,2024-06-15,
PQC,HAN,7:45 AM,9:45 AM,VietJet Air,2 hr,2024-06-16,"₫2,084,600"
PQC,HAN,9:10 AM,11:15 AM,VietJet Air,2 hr 5 min,2024-06-16,"₫2,516,600"
