Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
PXU,HAN,1:55 PM,3:30 PM,VietJet Air,1 hr 35 min,2024-06-13,"₫1,578,600"
PXU,HAN,6:10 PM,7:35 PM,VietJet Air,1 hr 25 min,2024-06-13,"₫1,578,600"
PXU,HAN,8:40 AM,10:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,726,000"
PXU,HAN,1:55 PM,3:30 PM,VietJet Air,1 hr 35 min,2024-06-14,"₫1,578,600"
PXU,HAN,6:10 PM,7:35 PM,VietJet Air,1 hr 25 min,2024-06-14,"₫1,578,600"
PXU,HAN,8:40 AM,10:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-14,"₫1,726,000"
PXU,HAN,,,,,2024-06-14,
PXU,HAN,,,,,2024-06-14,
PXU,HAN,1:55 PM,3:30 PM,VietJet Air,1 hr 35 min,2024-06-15,"₫1,578,600"
PXU,HAN,6:10 PM,7:35 PM,VietJet Air,1 hr 25 min,2024-06-15,"₫1,578,600"
PXU,HAN,8:40 AM,10:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-15,"₫1,726,000"
PXU,HAN,8:40 AM,10:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-16,"₫1,726,000"
PXU,HAN,1:55 PM,3:30 PM,VietJet Air,1 hr 35 min,2024-06-16,"₫1,740,600"
PXU,HAN,6:10 PM,7:35 PM,VietJet Air,1 hr 25 min,2024-06-16,"₫1,740,600"
PXU,HAN,1:55 PM,3:30 PM,VietJet Air,1 hr 35 min,2024-06-17,"₫1,578,600"
PXU,HAN,6:10 PM,7:35 PM,VietJet Air,1 hr 25 min,2024-06-17,"₫1,578,600"
PXU,HAN,8:40 AM,10:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-17,"₫1,909,000"
PXU,HAN,1:55 PM,3:30 PM,VietJet Air,1 hr 35 min,2024-06-18,"₫1,578,600"
PXU,HAN,6:10 PM,7:35 PM,VietJet Air,1 hr 25 min,2024-06-18,"₫1,578,600"
PXU,HAN,8:40 AM,10:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-18,"₫1,726,000"
PXU,HAN,8:40 AM,10:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-19,"₫1,531,000"
PXU,HAN,1:55 PM,3:30 PM,VietJet Air,1 hr 35 min,2024-06-19,"₫1,578,600"
PXU,HAN,6:10 PM,7:35 PM,VietJet Air,1 hr 25 min,2024-06-19,"₫1,578,600"
PXU,HAN,1:55 PM,3:30 PM,VietJet Air,1 hr 35 min,2024-06-20,"₫1,578,600"
PXU,HAN,6:10 PM,7:35 PM,VietJet Air,1 hr 25 min,2024-06-20,"₫1,578,600"
PXU,HAN,8:40 AM,10:10 AM,Vietnam Airlines,1 hr 30 min,2024-06-20,"₫1,726,000"
PXU,SGN,6:25 PM,7:35 PM,VietJet Air,1 hr 10 min,2024-06-13,"₫1,308,600"
PXU,SGN,5:40 PM,7:05 PM,Vietnam Airlines,1 hr 25 min,2024-06-13,"₫1,402,000"
PXU,SGN,6:25 PM,7:35 PM,VietJet Air,1 hr 10 min,2024-06-14,"₫1,308,600"
PXU,SGN,5:40 PM,7:05 PM,Vietnam Airlines,1 hr 25 min,2024-06-14,"₫1,402,000"
PXU,SGN,8:00 AM,9:00 AM,VietJet Air,1 hr,2024-06-14,"₫1,416,600"
PXU,SGN,6:40 PM,7:35 PM,VietJet Air,55 min,2024-06-15,"₫1,308,600"
PXU,SGN,5:40 PM,7:05 PM,Vietnam Airlines,1 hr 25 min,2024-06-15,"₫1,596,000"
PXU,SGN,8:00 AM,9:00 AM,VietJet Air,1 hr,2024-06-16,"₫1,416,600"
PXU,SGN,6:40 PM,7:35 PM,VietJet Air,55 min,2024-06-16,"₫1,524,600"
PXU,SGN,5:40 PM,7:05 PM,Vietnam Airlines,1 hr 25 min,2024-06-16,"₫1,693,000"
PXU,SGN,8:00 AM,9:00 AM,VietJet Air,1 hr,2024-06-17,"₫1,308,600"
PXU,SGN,6:40 PM,7:35 PM,VietJet Air,55 min,2024-06-17,"₫1,308,600"
PXU,SGN,5:40 PM,7:05 PM,Vietnam Airlines,1 hr 25 min,2024-06-17,"₫1,693,000"
PXU,SGN,6:40 PM,7:35 PM,VietJet Air,55 min,2024-06-18,"₫1,114,200"
PXU,SGN,5:40 PM,7:05 PM,Vietnam Airlines,1 hr 25 min,2024-06-18,"₫1,402,000"
PXU,SGN,8:00 AM,9:00 AM,VietJet Air,1 hr,2024-06-19,"₫1,114,200"
PXU,SGN,6:40 PM,7:35 PM,VietJet Air,55 min,2024-06-19,"₫1,114,200"
PXU,SGN,5:40 PM,7:05 PM,Vietnam Airlines,1 hr 25 min,2024-06-19,"₫1,304,000"
PXU,SGN,6:40 PM,7:35 PM,VietJet Air,55 min,2024-06-20,"₫1,114,200"
PXU,SGN,5:40 PM,7:05 PM,Vietnam Airlines,1 hr 25 min,2024-06-20,"₫1,304,000"
