Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-06-26,"₫3,000,000"
TBB,HAN,7:00 PM,8:50 PM,VietJet Air,1 hr 50 min,2024-06-27,"₫2,496,600"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-06-27,"₫3,000,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-06-28,"₫3,000,000"
TBB,HAN,,,,,2024-06-28,
TBB,HAN,7:00 PM,8:50 PM,VietJet Air,1 hr 50 min,2024-06-29,"₫2,496,600"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-06-30,"₫3,508,000"
TBB,HAN,,,,,2024-06-30,
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-01,"₫2,773,000"
TBB,HAN,,,,,2024-07-01,
TBB,HAN,7:00 PM,8:50 PM,VietJet Air,1 hr 50 min,2024-07-02,"₫2,496,600"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-03,"₫2,773,000"
TBB,HAN,7:00 PM,8:50 PM,VietJet Air,1 hr 50 min,2024-07-04,"₫2,496,600"
TBB,HAN,,,,,2024-07-04,
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-05,"₫2,773,000"
TBB,HAN,7:00 PM,8:50 PM,VietJet Air,1 hr 50 min,2024-07-06,"₫2,712,600"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-07,"₫3,721,000"
TBB,HAN,,,,,2024-07-07,
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-08,"₫3,000,000"
TBB,HAN,7:00 PM,8:50 PM,VietJet Air,1 hr 50 min,2024-07-09,"₫2,302,200"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-10,"₫2,557,000"
TBB,HAN,7:00 PM,8:50 PM,VietJet Air,1 hr 50 min,2024-07-11,"₫1,956,600"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-12,"₫3,000,000"
TBB,HAN,7:00 PM,8:50 PM,VietJet Air,1 hr 50 min,2024-07-13,"₫1,956,600"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-14,"₫3,721,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-07-15,"₫3,000,000"
TBB,SGN,9:45 AM,11:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-26,"₫1,402,000"
TBB,SGN,7:40 AM,8:50 AM,VietJet Air,1 hr 10 min,2024-06-27,"₫1,114,200"
TBB,SGN,9:45 AM,11:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-27,"₫1,402,000"
TBB,SGN,9:45 AM,11:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-28,"₫1,402,000"
TBB,SGN,7:40 AM,8:50 AM,VietJet Air,1 hr 10 min,2024-06-29,"₫1,114,200"
TBB,SGN,9:45 AM,11:15 AM,Vietnam Airlines,1 hr 30 min,2024-06-30,"₫1,693,000"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-07-01,"₫1,596,000"
TBB,SGN,7:40 AM,8:50 AM,VietJet Air,1 hr 10 min,2024-07-02,"₫1,200,600"
TBB,SGN,7:40 AM,8:50 AM,VietJet Air,1 hr 10 min,2024-07-04,"₫1,114,200"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-07-05,"₫1,402,000"
TBB,SGN,7:40 AM,8:50 AM,VietJet Air,1 hr 10 min,2024-07-06,"₫1,200,600"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-07-07,"₫1,693,000"
TBB,SGN,,,,,2024-07-07,
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-07-08,"₫1,596,000"
TBB,SGN,7:40 AM,8:50 AM,VietJet Air,1 hr 10 min,2024-07-09,"₫1,200,600"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-07-10,"₫1,402,000"
TBB,SGN,7:40 AM,8:50 AM,VietJet Air,1 hr 10 min,2024-07-11,"₫1,114,200"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-07-12,"₫1,402,000"
TBB,SGN,,,,,2024-07-12,
TBB,SGN,7:40 AM,8:50 AM,VietJet Air,1 hr 10 min,2024-07-13,"₫1,114,200"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-07-14,"₫1,693,000"
TBB,HAN,7:00 PM,8:50 PM,Vietjet,1 hr 50 min,2024-07-30,"₫2,712,600"
TBB,HAN,7:00 PM,8:50 PM,Vietjet,1 hr 50 min,2024-08-01,"₫2,118,600"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-02,"₫2,557,000"
TBB,HAN,7:00 PM,8:50 PM,Vietjet,1 hr 50 min,2024-08-03,"₫1,783,800"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-04,"₫1,909,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-05,"₫1,693,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-05,"₫2,341,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-06,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-06,"₫1,909,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-08,"₫1,909,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-09,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-09,"₫2,557,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-10,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-10,"₫2,125,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-11,"₫1,499,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-12,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-12,"₫2,341,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-12,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-12,"₫2,341,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-13,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-13,"₫1,909,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-14,"₫1,909,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-15,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-15,"₫1,693,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-16,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-16,"₫1,693,000"
TBB,HAN,7:30 AM,9:20 AM,Vietnam Airlines,1 hr 50 min,2024-08-17,"₫1,499,000"
TBB,HAN,2:10 PM,3:55 PM,Vietnam Airlines,1 hr 45 min,2024-08-17,"₫1,693,000"
TBB,SGN,7:40 AM,8:50 AM,Vietjet,1 hr 10 min,2024-07-30,"₫1,632,600"
TBB,SGN,,,,,2024-07-30,
TBB,SGN,7:40 AM,8:50 AM,Vietjet,1 hr 10 min,2024-08-01,"₫1,308,600"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-08-01,"₫1,402,000"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-08-02,"₫1,596,000"
TBB,SGN,,,,,2024-08-02,
TBB,SGN,7:40 AM,8:50 AM,Vietjet,1 hr 10 min,2024-08-03,"₫1,200,600"
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-08-03,"₫1,499,000"
TBB,SGN,,,,,2024-08-03,
TBB,SGN,,,,,2024-08-03,
TBB,SGN,9:50 AM,11:00 AM,Vietnam Airlines,1 hr 10 min,2024-08-04,"₫2,816,000"
TBB,SGN,10:35 PM,11:50 PM,Vietnam Airlines,1 hr 15 min,2024-08-05,"₫1,207,000"
TBB,SGN,9:50 AM,11:00 AM,,1 hr 10 min,2024-08-05,"₫1,693,000"
TBB,SGN,10:35 PM,11:50 PM,Vietnam Airlines,1 hr 15 min,2024-08-06,"₫1,034,000"
TBB,SGN,9:50 AM,10:55 AM,,1 hr 5 min,2024-08-06,"₫1,304,000"
TBB,SGN,7:40 AM,8:50 AM,Operated by Pacific Airlines,1 hr 10 min,2024-08-06,"₫1,827,000"
TBB,SGN,10:35 PM,11:50 PM,Vietnam Airlines,1 hr 15 min,2024-08-07,"₫1,034,000"
TBB,SGN,9:50 AM,11:00 AM,,1 hr 10 min,2024-08-07,"₫1,207,000"
TBB,SGN,7:40 AM,8:50 AM,Vietjet,1 hr 10 min,2024-08-08,"₫1,027,800"
TBB,SGN,10:35 PM,11:50 PM,Vietnam Airlines,1 hr 15 min,2024-08-08,"₫1,034,000"
TBB,SGN,9:50 AM,11:00 AM,,1 hr 10 min,2024-08-08,"₫1,207,000"
TBB,SGN,10:35 PM,11:45 PM,Vietnam Airlines,1 hr 10 min,2024-08-09,"₫1,034,000"
TBB,SGN,9:50 AM,11:00 AM,,1 hr 10 min,2024-08-09,"₫1,207,000"
