Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
UIH,HAN,8:05 AM,9:45 AM,VietJet Air,1 hr 40 min,2024-06-26,"₫1,438,200"
UIH,HAN,5:05 PM,6:40 PM,VietJet Air,1 hr 35 min,2024-06-26,"₫1,740,600"
UIH,HAN,10:20 AM,12:00 PM,VietJet Air,1 hr 40 min,2024-06-26,"₫1,891,800"
UIH,HAN,8:55 AM,10:55 AM,Vietnam Airlines,2 hr,2024-06-26,"₫2,114,000"
UIH,HAN,4:50 PM,6:55 PM,VietJet Air,2 hr 5 min,2024-06-26,"₫2,064,600"
UIH,HAN,8:30 PM,10:05 PM,Vietnam Airlines,1 hr 35 min,2024-06-26,"₫2,114,000"
UIH,HAN,8:05 AM,9:45 AM,VietJet Air,1 hr 40 min,2024-06-27,"₫1,438,200"
UIH,HAN,4:35 PM,6:15 PM,Bamboo Airways,1 hr 40 min,2024-06-27,"₫1,859,000"
UIH,HAN,1:15 PM,2:50 PM,VietJet Air,1 hr 35 min,2024-06-27,"₫2,064,600"
UIH,HAN,4:50 PM,6:55 PM,VietJet Air,2 hr 5 min,2024-06-27,"₫2,064,600"
UIH,HAN,5:05 PM,6:40 PM,VietJet Air,1 hr 35 min,2024-06-27,"₫2,269,800"
UIH,HAN,8:05 AM,9:45 AM,VietJet Air,1 hr 40 min,2024-06-28,"₫1,438,200"
UIH,HAN,10:20 AM,12:00 PM,VietJet Air,1 hr 40 min,2024-06-28,"₫1,578,600"
UIH,HAN,1:15 PM,2:50 PM,VietJet Air,1 hr 35 min,2024-06-28,"₫1,578,600"
UIH,HAN,5:05 PM,6:40 PM,VietJet Air,1 hr 35 min,2024-06-28,"₫1,740,600"
UIH,HAN,4:50 PM,6:55 PM,VietJet Air,2 hr 5 min,2024-06-28,"₫1,891,800"
UIH,HAN,8:05 AM,9:45 AM,VietJet Air,1 hr 40 min,2024-06-29,"₫1,438,200"
UIH,HAN,10:20 AM,12:00 PM,VietJet Air,1 hr 40 min,2024-06-29,"₫1,578,600"
UIH,HAN,6:30 PM,8:10 PM,Bamboo Airways,1 hr 40 min,2024-06-29,"₫1,611,000"
UIH,HAN,1:15 PM,2:50 PM,VietJet Air,1 hr 35 min,2024-06-29,"₫2,064,600"
UIH,HAN,4:50 PM,6:55 PM,VietJet Air,2 hr 5 min,2024-06-29,"₫2,064,600"
UIH,HAN,5:05 PM,6:40 PM,VietJet Air,1 hr 35 min,2024-06-29,"₫2,269,800"
UIH,HAN,8:55 AM,10:55 AM,Vietnam Airlines,2 hr,2024-06-29,"₫2,730,000"
UIH,HAN,1:15 PM,2:50 PM,Vietnam Airlines,1 hr 35 min,2024-06-29,"₫3,171,000"
UIH,HAN,8:05 AM,9:45 AM,VietJet Air,1 hr 40 min,2024-06-30,"₫1,891,800"
UIH,HAN,12:00 PM,1:35 PM,VietJet Air,1 hr 35 min,2024-06-30,"₫2,448,000"
UIH,HAN,1:15 PM,2:50 PM,VietJet Air,1 hr 35 min,2024-06-30,"₫2,448,000"
UIH,HAN,10:20 AM,12:00 PM,VietJet Air,1 hr 40 min,2024-07-01,"₫1,891,800"
UIH,HAN,8:05 AM,9:45 AM,VietJet Air,1 hr 40 min,2024-07-01,"₫1,891,800"
UIH,HAN,5:05 PM,6:40 PM,VietJet Air,1 hr 35 min,2024-07-01,"₫2,448,000"
UIH,HAN,4:35 PM,6:15 PM,Bamboo Airways,1 hr 40 min,2024-07-01,"₫2,464,000"
UIH,HAN,4:50 PM,6:55 PM,VietJet Air,2 hr 5 min,2024-07-01,"₫2,496,600"
