Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-06-26,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-06-27,"₫1,551,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-06-29,"₫1,551,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-01,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-02,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-03,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-04,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-06,"₫1,551,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-08,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-09,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-10,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-11,"₫1,476,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-13,"₫1,551,000"
VCA,VCS,2:20 PM,3:20 PM,Vietnam Airlines,1 hr,2024-07-15,"₫1,476,000"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-06-26,"₫1,382,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-06-26,"₫1,544,600"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-06-27,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-06-27,"₫1,663,400"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-06-28,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-06-28,"₫1,933,400"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-06-30,"₫1,382,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-06-30,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-01,"₫1,544,600"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-01,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-02,"₫1,544,600"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-02,"₫1,663,400"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-03,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-03,"₫1,663,400"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-04,"₫1,793,000"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-04,"₫1,793,000"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-05,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-05,"₫1,793,000"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-06,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-06,"₫2,084,600"
VCA,DAD,,,,,2024-07-06,
VCA,DAD,,,,,2024-07-06,
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-07,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-07,"₫1,663,400"
VCA,DAD,,,,,2024-07-07,
VCA,DAD,,,,,2024-07-07,
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-08,"₫1,544,600"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-08,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-09,"₫1,544,600"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-09,"₫1,663,400"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-10,"₫1,793,000"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-10,"₫2,252,000"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-11,"₫1,793,000"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-11,"₫2,252,000"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-12,"₫1,793,000"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-12,"₫2,252,000"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-13,"₫1,663,400"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-13,"₫2,252,000"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-14,"₫1,544,600"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-14,"₫1,544,600"
VCA,DAD,11:25 AM,12:55 PM,VietJet Air,1 hr 30 min,2024-07-15,"₫1,544,600"
VCA,DAD,2:40 PM,4:10 PM,VietJet Air,1 hr 30 min,2024-07-15,"₫1,544,600"
VCA,HPH,3:20 PM,5:25 PM,VietJet Air,2 hr 5 min,2024-06-27,"₫1,868,600"
VCA,HPH,3:20 PM,5:25 PM,VietJet Air,2 hr 5 min,2024-06-29,"₫1,868,600"
VCA,HPH,3:50 PM,5:55 PM,VietJet Air,2 hr 5 min,2024-07-02,"₫2,084,600"
VCA,HPH,3:20 PM,5:25 PM,VietJet Air,2 hr 5 min,2024-07-04,"₫2,084,600"
VCA,HPH,3:20 PM,5:25 PM,VietJet Air,2 hr 5 min,2024-07-06,"₫1,868,600"
VCA,HPH,3:50 PM,5:55 PM,VietJet Air,2 hr 5 min,2024-07-09,"₫1,868,600"
VCA,HPH,3:20 PM,5:25 PM,VietJet Air,2 hr 5 min,2024-07-11,"₫1,868,600"
VCA,HPH,3:50 PM,5:55 PM,VietJet Air,2 hr 5 min,2024-07-13,"₫1,868,600"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-06-26,"₫2,084,600"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-26,"₫2,340,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-26,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-26,"₫2,084,600"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-26,"₫2,340,000"
VCA,HAN,,,,,2024-06-26,
VCA,HAN,,,,,2024-06-26,
VCA,HAN,,,,,2024-06-26,
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-06-27,"₫2,084,600"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-27,"₫2,340,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-27,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-27,"₫2,084,600"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-27,"₫2,340,000"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-06-28,"₫2,084,600"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-28,"₫2,340,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-28,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-28,"₫2,084,600"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-28,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-29,"₫2,084,600"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-29,"₫2,340,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-29,"₫2,340,000"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-06-29,"₫2,289,800"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-29,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-06-30,"₫2,084,600"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-06-30,"₫2,289,800"
VCA,HAN,10:00 AM,12:20 PM,Vietnam Airlines,2 hr 20 min,2024-06-30,"₫2,599,000"
VCA,HAN,7:50 PM,10:15 PM,Vietnam Airlines,2 hr 25 min,2024-06-30,"₫2,599,000"
VCA,HAN,2:10 PM,4:20 PM,Vietnam Airlines,2 hr 10 min,2024-06-30,"₫2,847,000"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-07-01,"₫2,084,600"
VCA,HAN,10:05 AM,12:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-01,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-07-01,"₫2,084,600"
VCA,HAN,2:05 PM,4:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-01,"₫2,340,000"
VCA,HAN,8:00 PM,10:15 PM,Vietnam Airlines,2 hr 15 min,2024-07-01,"₫2,340,000"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-07-02,"₫2,084,600"
VCA,HAN,10:05 AM,12:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-02,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-07-02,"₫2,289,800"
VCA,HAN,8:00 PM,10:15 PM,Vietnam Airlines,2 hr 15 min,2024-07-02,"₫2,340,000"
VCA,HAN,2:05 PM,4:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-02,"₫2,599,000"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-07-03,"₫2,084,600"
VCA,HAN,10:05 AM,12:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-03,"₫2,340,000"
VCA,HAN,2:05 PM,4:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-03,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-07-03,"₫2,289,800"
VCA,HAN,8:00 PM,10:15 PM,Vietnam Airlines,2 hr 15 min,2024-07-03,"₫2,340,000"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-07-04,"₫2,289,800"
VCA,HAN,10:05 AM,12:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-04,"₫2,340,000"
VCA,HAN,2:05 PM,4:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-04,"₫2,340,000"
VCA,HAN,8:00 PM,10:15 PM,Vietnam Airlines,2 hr 15 min,2024-07-04,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-07-04,"₫2,775,800"
VCA,HAN,8:45 AM,10:55 AM,VietJet Air,2 hr 10 min,2024-07-05,"₫2,084,600"
VCA,HAN,10:05 AM,12:20 PM,Vietnam Airlines,2 hr 15 min,2024-07-05,"₫2,340,000"
VCA,HAN,6:00 AM,8:10 AM,VietJet Air,2 hr 10 min,2024-07-05,"₫2,084,600"
