Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-06-26,"₫1,436,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-06-27,"₫1,436,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-06-29,"₫1,511,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-01,"₫1,511,000"
VCS,VCA,,,,,2024-07-01,
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-02,"₫1,757,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-03,"₫1,757,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-04,"₫1,757,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-06,"₫1,511,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-08,"₫1,587,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-09,"₫1,757,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-10,"₫1,757,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-11,"₫1,757,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-13,"₫1,511,000"
VCS,VCA,12:50 PM,1:55 PM,Vietnam Airlines,1 hr 5 min,2024-07-15,"₫1,511,000"
VCS,SGN,6:55 AM,7:55 AM,Vietnam Airlines,1 hr,2024-06-26,"₫1,587,000"
VCS,SGN,9:15 AM,10:20 AM,Vietnam Airlines,1 hr 5 min,2024-06-26,"₫1,652,000"
VCS,SGN,10:25 AM,11:35 AM,Vietnam Airlines,1 hr 10 min,2024-06-26,"₫1,652,000"
VCS,SGN,8:20 AM,9:30 AM,Vietnam Airlines,1 hr 10 min,2024-06-26,"₫1,652,000"
VCS,SGN,10:00 AM,11:20 AM,,1 hr 20 min,2024-06-26,"₫1,652,000"
VCS,SGN,11:25 AM,12:35 PM,Operated by Vietnam Air Service,1 hr 10 min,2024-06-26,"₫1,652,000"
VCS,SGN,1:35 PM,2:45 PM,Vietnam Airlines,1 hr 10 min,2024-06-26,"₫1,652,000"
VCS,SGN,1:45 PM,2:55 PM,,1 hr 10 min,2024-06-26,"₫1,652,000"
VCS,SGN,3:45 PM,4:55 PM,Operated by Vietnam Air Service,1 hr 10 min,2024-06-26,"₫1,652,000"
VCS,SGN,4:40 PM,5:45 PM,Vietnam Airlines,1 hr 5 min,2024-06-26,"₫1,652,000"
VCS,SGN,6:55 AM,7:55 AM,Vietnam Airlines,1 hr,2024-06-27,"₫1,587,000"
VCS,SGN,9:15 AM,10:20 AM,Vietnam Airlines,1 hr 5 min,2024-06-27,"₫1,652,000"
VCS,SGN,10:25 AM,11:35 AM,Vietnam Airlines,1 hr 10 min,2024-06-27,"₫1,652,000"
VCS,SGN,11:25 AM,12:35 PM,Vietnam Airlines,1 hr 10 min,2024-06-27,"₫1,652,000"
VCS,SGN,1:45 PM,2:55 PM,,1 hr 10 min,2024-06-27,"₫1,652,000"
